occurrence_order,semantic_subject,field_or_term_name,relative_path,file_role,occurrence_kind,declaring_or_referencing,phase_claim,type_claim,validation_claim,source_authority_level,current_contract_effect,admit_013_relevance,occurrence_passed
1,integrity_or_transport_semantics,checksum,data/derived/covalent_small/covapie_batch_scale_data_preparation_design_gate_v0/covapie_batch_scale_provenance_contract.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,unrelated_text,not_ADMIT_013_semantic_authority,integrity_semantics_search_evidence,true
2,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
3,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
4,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
5,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
6,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
7,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
8,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
9,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
10,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
11,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
12,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
13,comparison_authority,expected_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,manifest,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,source_attestation_hash,not_ADMIT_013_semantic_authority,candidate_comparison_authority_but_not_assigned_to_ADMIT_013,true
