source_order,source_relative_path,source_kind,base_tree_mode,base_tree_sha256,filesystem_sha256,tracked_regular_non_symlink,parent_chain_verified,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,data/derived/covalent_small/covapie_batch_scale_data_preparation_design_gate_v0/covapie_batch_scale_provenance_contract.csv,committed_csv,100644,7e11e14691be217907d3f4525d4c744bab103cda54efa03dc0c2cdaa4394538c,7e11e14691be217907d3f4525d4c744bab103cda54efa03dc0c2cdaa4394538c,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_contract_design_manifest.json,committed_manifest,100644,32dd20579fb47aae0deb1e074fc8feeff5b92b8cbdd44b4089c7ef15a590a754,32dd20579fb47aae0deb1e074fc8feeff5b92b8cbdd44b4089c7ef15a590a754,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,committed_csv,100644,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,committed_csv,100644,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_design_manifest.json,committed_manifest,100644,7834abfca88d07d8cff92dc75212b1cc2ea932d3b46484602d97bc9acbb0a485,7834abfca88d07d8cff92dc75212b1cc2ea932d3b46484602d97bc9acbb0a485,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,committed_csv,100644,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,committed_csv,100644,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_field_matrix.csv,committed_csv,100644,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_rule_matrix.csv,committed_csv,100644,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_manifest.json,committed_manifest,100644,3c03b711e74fd023be187b64a757e69f8fc03bcb1af19c88325e7fdeb226012d,3c03b711e74fd023be187b64a757e69f8fc03bcb1af19c88325e7fdeb226012d,true,true,true,true,true
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_issue_transition_inventory.csv,committed_csv,100644,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,committed_manifest,100644,c442d31cebaea6b8e3ae5dbda232cc5ba377eb74a2ca68c2437ce0b43a39e6c0,c442d31cebaea6b8e3ae5dbda232cc5ba377eb74a2ca68c2437ce0b43a39e6c0,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,committed_csv,100644,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,true,true,true,true,true
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_field_matrix.csv,committed_csv,100644,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,true,true,true,true,true
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_rule_matrix.csv,committed_csv,100644,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,true,true,true,true,true
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_issue_inventory.csv,committed_csv,100644,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,true,true,true,true,true
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,committed_manifest,100644,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,true,true,true,true,true
18,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true,true,true,true
19,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_manifest.json,committed_manifest,100644,f000c7959c0e8a9f561d60b332c5460b4de84279d3e5c11556638334297723a6,f000c7959c0e8a9f561d60b332c5460b4de84279d3e5c11556638334297723a6,true,true,true,true,true
20,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true,true,true,true
21,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_manifest.json,committed_manifest,100644,304e6d83bd36faba951bfa024c9fb96d70534e3c49b556c79b9d2acdcec5c2b8,304e6d83bd36faba951bfa024c9fb96d70534e3c49b556c79b9d2acdcec5c2b8,true,true,true,true,true
22,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_source_boundary_audit.csv,committed_csv,100644,a5b3c01374dfdcf5bf25c1717b8481880fa8c0e2fab7cd215ea3784bdb306e0c,a5b3c01374dfdcf5bf25c1717b8481880fa8c0e2fab7cd215ea3784bdb306e0c,true,true,true,true,true
