admission_rule_id,admission_rule_name,evidence_source,required_status,failure_severity,blocking_reason,evaluation_phase,network_required,raw_structure_required,ready_for_future_implementation
ADMIT_001,unique_candidate_identity,future_candidate_record,unique_identity_resolved,blocking,candidate_identity_unresolved,pre_download,false,false,true
ADMIT_002,valid_pdb_id_format,future_candidate_record,pdb_id_format_valid,blocking,invalid_pdb_id,pre_download,false,false,true
ADMIT_003,ligand_or_het_identity_present,future_candidate_record,ligand_identity_present,blocking,ligand_identity_missing,pre_download,false,false,true
ADMIT_004,covalent_residue_identity_present,future_candidate_record,residue_identity_present,blocking,covalent_residue_identity_missing,pre_download,false,false,true
ADMIT_005,cys_sg_scope_only_v1,future_candidate_record,residue_name_CYS_and_atom_SG,blocking,outside_cys_sg_v1_scope,pre_download,false,false,true
ADMIT_006,explicit_covalent_event_evidence,future_candidate_record,explicit_evidence_source_present,blocking,covalent_event_evidence_missing,pre_download,false,false,true
ADMIT_007,distance_only_inference_forbidden,future_candidate_record,not_distance_only_inference,blocking,distance_only_inference_not_admissible,pre_download,false,false,true
ADMIT_008,topology_restoration_disposition,approved_template_or_manual_review,approved_or_manual_review,blocking,topology_restoration_unapproved,pre_download,false,false,true
ADMIT_009,duplicate_identity_precheck,future_candidate_record,duplicate_precheck_complete,blocking,duplicate_identity_unresolved,pre_download,false,false,true
ADMIT_010,leakage_group_assignment_before_split,future_candidate_record,leakage_group_assigned,blocking,leakage_group_unassigned,pre_final_split,false,false,true
ADMIT_011,raw_overwrite_forbidden,future_download_target,target_does_not_overwrite_existing_raw,blocking,raw_target_overwrite_forbidden,pre_download,false,false,true
ADMIT_012,future_download_integrity_fields_required,future_download_result,download_status_http_status_content_length_and_sha256_present,blocking,download_integrity_fields_missing,post_download,false,false,true
ADMIT_013,download_failure_fail_closed,future_download_result,non_success_or_integrity_failure_not_admitted,blocking,download_failure_must_fail_closed,post_download,false,false,true
ADMIT_014,current_gate_grants_no_download_permission,current_design_gate,bulk_download_not_authorized_now,blocking,bulk_download_not_authorized,current_step,false,false,true
ADMIT_015,current_gate_grants_no_training_permission,current_design_gate,training_not_authorized_now,blocking,training_not_authorized,current_step,false,false,true
