boundary_item,source_path,expected_status,observed_status,source_boundary_passed,blocking_reason
tracked_hash_verified:covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_artifact_inventory_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_issue_inventory.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_issue_inventory.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_manifest.json,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_mask_contract_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_mask_contract_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_precondition_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_precondition_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_safety_training_boundary_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_safety_training_boundary_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_schema_lineage_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_schema_lineage_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_qa_v1_split_leakage_audit.csv,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_split_leakage_audit.csv,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_final_dataset_materialization_smoke_manifest.json,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/covapie_final_dataset_materialization_smoke_manifest.json,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
tracked_hash_verified:covapie_unified_leakage_split_materialization_smoke_manifest.json,data/derived/covalent_small/covapie_unified_leakage_split_materialization_smoke_v0/covapie_unified_leakage_split_materialization_smoke_manifest.json,tracked_regular_file_with_fixed_sha256,tracked_regular_file_with_fixed_sha256,true,
qa_v1_stage,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_all_checks_passed,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_baseline_sample_count,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_baseline_group_count,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_baseline_split_counts,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_canonical_masks,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_bulk_download_not_ready,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_training_not_ready,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
qa_v1_feature_semantics_audit_required,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
step14ar_stage,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
step14aq_stage,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
step14ar_step14aq_provenance,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
artifact_inventory_references_not_followed,step14as_qa_v1_step14ar_step14aq_metadata_only,true,true,true,
