contract_order,contract_section,section_order,public_name,formal_type,required,frozen_value,formal_invariant,implementation_source,contract_passed
1,signature_parameter,1,download_result_status,object,true,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
2,signature_parameter,2,observed_http_status,object,true,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
3,signature_parameter,3,observed_content_length_bytes,object,true,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
4,signature_parameter,4,observed_sha256,object,true,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
5,signature_parameter,5,expected_content_length_bytes,object,false,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
6,signature_parameter,6,expected_sha256,object,false,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
7,signature_parameter,7,explicit_integrity_verdict,object,false,keyword_only|private_shared_missing_singleton,Exact7 order; no positional/varargs/varkw/Mapping/normalization,formal_closure,true
8,result_field,1,admission_rule_id,str,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
9,result_field,2,outcome,str,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
10,result_field,3,passed,bool,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
11,result_field,4,blocks_candidate,bool,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
12,result_field,5,reason,str,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
13,result_field,6,canonical_download_result_record,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
14,result_field,7,canonical_integrity_authority_record,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
15,result_field,8,validated_download_result_fields,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
16,result_field,9,validated_integrity_authority_fields,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
17,result_field,10,consumed_download_result_fields,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
18,result_field,11,consumed_integrity_authority_fields,tuple,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
19,result_field,12,evaluator_io_used,bool,true,Exact12_ordered,exact built-in top-level type and reason-phase state invariant,formal_closure,true
20,reason_vocabulary,1,<empty>,str,true,,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
21,reason_vocabulary,2,DOWNLOAD_RESULT_STATUS_MISSING,str,true,DOWNLOAD_RESULT_STATUS_MISSING,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
22,reason_vocabulary,3,OBSERVED_HTTP_STATUS_MISSING,str,true,OBSERVED_HTTP_STATUS_MISSING,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
23,reason_vocabulary,4,OBSERVED_CONTENT_LENGTH_BYTES_MISSING,str,true,OBSERVED_CONTENT_LENGTH_BYTES_MISSING,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
24,reason_vocabulary,5,OBSERVED_SHA256_MISSING,str,true,OBSERVED_SHA256_MISSING,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
25,reason_vocabulary,6,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,str,true,DOWNLOAD_RESULT_STATUS_TYPE_INVALID,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
26,reason_vocabulary,7,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,str,true,DOWNLOAD_RESULT_STATUS_VALUE_INVALID,closed Exact26 ordered vocabulary; no catch-all or free text,formal_closure,true
