case_order,case_id,case_group,assertion_kind,inherited_case_id,download_result_status_representation,observed_http_status_representation,observed_content_length_bytes_representation,observed_sha256_representation,expected_content_length_bytes_representation,expected_sha256_representation,explicit_integrity_verdict_representation,expected_design_result,observed_formal_result,exact_type_value_equality,evaluator_io_used,formal_source,truth_passed
1,PRESENCE_DOWNLOAD_RESULT_STATUS_MISSING,exact4_presence,formal_interface_projection,,<MISSING>,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)","('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
2,PRESENCE_OBSERVED_HTTP_STATUS_MISSING,exact4_presence,formal_interface_projection,,'success',<MISSING>,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status'), (), False)","('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
3,PRESENCE_OBSERVED_CONTENT_LENGTH_BYTES_MISSING,exact4_presence,formal_interface_projection,,'success',200,<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_MISSING', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes'), (), False)","('ADMIT_013', 'blocked', False, True, 'OBSERVED_CONTENT_LENGTH_BYTES_MISSING', (), (), ('download_result_status', 'observed_http_status'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
4,PRESENCE_OBSERVED_SHA256_MISSING,exact4_presence,formal_interface_projection,,'success',200,10,<MISSING>,<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_SHA256_MISSING', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)","('ADMIT_013', 'blocked', False, True, 'OBSERVED_SHA256_MISSING', (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes'), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
5,PRESENCE_FIRST_AND_LATER_MISSING,exact4_presence,formal_interface_projection,,<MISSING>,200,10,<MISSING>,<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)","('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
6,PRESENCE_SECOND_AND_LATER_MISSING,exact4_presence,formal_interface_projection,,'success',<MISSING>,10,<MISSING>,<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status'), (), False)","('ADMIT_013', 'blocked', False, True, 'OBSERVED_HTTP_STATUS_MISSING', (), (), ('download_result_status',), (), ('download_result_status', 'observed_http_status'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
7,PRESENCE_FIRST_MISSING_AUTHORITY_INVALID,cross_phase_precedence,formal_interface_projection,,<MISSING>,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',None,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)","('ADMIT_013', 'blocked', False, True, 'DOWNLOAD_RESULT_STATUS_MISSING', (), (), (), (), ('download_result_status',), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
8,STATUS_NONE,download_result_status_validation,formal_interface_projection,,None,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)","('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
9,STATUS_FALSE,download_result_status_validation,formal_interface_projection,,False,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)","('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
10,STATUS_ZERO,download_result_status_validation,formal_interface_projection,,0,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)","('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
11,STATUS_STR_SUBCLASS,download_result_status_validation,formal_interface_projection,,<str-subclass:'success'>,200,10,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,'0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef',<MISSING>,"('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)","('ADMIT_013', 'invalid', False, True, 'DOWNLOAD_RESULT_STATUS_TYPE_INVALID', (), (), (), (), ('download_result_status', 'observed_http_status', 'observed_content_length_bytes', 'observed_sha256'), (), False)",true,false,evaluate_admit_013|Admit013EvaluationResult,true
