source_order,source_relative_path,source_kind,base_tree_mode,expected_sha256,base_tree_sha256,filesystem_sha256,frozen_snapshot_sha256,git_tracked,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_design_gate.py,python_source,100644,256d5d0bfd54fe5accc4493051809aafec58a41b6cf56b9090dbf19f80b2a2e3,256d5d0bfd54fe5accc4493051809aafec58a41b6cf56b9090dbf19f80b2a2e3,256d5d0bfd54fe5accc4493051809aafec58a41b6cf56b9090dbf19f80b2a2e3,256d5d0bfd54fe5accc4493051809aafec58a41b6cf56b9090dbf19f80b2a2e3,true,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1/covapie_admit_013_formal_evaluator_interface_and_result_contract.csv,committed_csv,100644,655ff7c2af7f95a9eef8742e3fac3635b3a914be39aa1bf0cb5efc392d3ee6a7,655ff7c2af7f95a9eef8742e3fac3635b3a914be39aa1bf0cb5efc392d3ee6a7,655ff7c2af7f95a9eef8742e3fac3635b3a914be39aa1bf0cb5efc392d3ee6a7,655ff7c2af7f95a9eef8742e3fac3635b3a914be39aa1bf0cb5efc392d3ee6a7,true,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1/covapie_admit_013_formal_evaluator_routing_and_consumption_contract.csv,committed_csv,100644,55b78fdf124efc0310d4e55b8564568c7cd88c5e3155666a75162d6c54c1af90,55b78fdf124efc0310d4e55b8564568c7cd88c5e3155666a75162d6c54c1af90,55b78fdf124efc0310d4e55b8564568c7cd88c5e3155666a75162d6c54c1af90,55b78fdf124efc0310d4e55b8564568c7cd88c5e3155666a75162d6c54c1af90,true,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1/covapie_admit_013_formal_evaluator_interface_truth_matrix.csv,committed_csv,100644,1ffafe3dac824c91e9dcb3fef8760e1f8f1e92754755816d4cef2d0f58fd5631,1ffafe3dac824c91e9dcb3fef8760e1f8f1e92754755816d4cef2d0f58fd5631,1ffafe3dac824c91e9dcb3fef8760e1f8f1e92754755816d4cef2d0f58fd5631,1ffafe3dac824c91e9dcb3fef8760e1f8f1e92754755816d4cef2d0f58fd5631,true,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1/covapie_admit_013_formal_evaluator_interface_issue_readiness_inventory.csv,committed_csv,100644,e2d895dc822e5de8d6f1410e41f6cd79407b090a0055ebe2a79aeadabf033214,e2d895dc822e5de8d6f1410e41f6cd79407b090a0055ebe2a79aeadabf033214,e2d895dc822e5de8d6f1410e41f6cd79407b090a0055ebe2a79aeadabf033214,e2d895dc822e5de8d6f1410e41f6cd79407b090a0055ebe2a79aeadabf033214,true,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_formal_evaluator_interface_contract_v1/covapie_admit_013_formal_evaluator_interface_contract_manifest.json,committed_manifest,100644,5cadbddf7d75aac7b92f5f86ad204e96237ea80a58f4372eaa22460b4385ea71,5cadbddf7d75aac7b92f5f86ad204e96237ea80a58f4372eaa22460b4385ea71,5cadbddf7d75aac7b92f5f86ad204e96237ea80a58f4372eaa22460b4385ea71,5cadbddf7d75aac7b92f5f86ad204e96237ea80a58f4372eaa22460b4385ea71,true,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_download_outcome_and_integrity_truth_matrix.csv,committed_csv,100644,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,7e856eb5ebd995793dcd82fb75266c7ee6f6a8b06b7785f3a70713a96b8efdbb,true,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_013_download_outcome_and_integrity_contract_v1/covapie_admit_013_download_outcome_and_integrity_contract_manifest.json,committed_manifest,100644,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,1bbfe88f459946b78bb14e5b0b672582d508a838bef220ecf292fa84d15f934d,true,true,true,true,true,true,true,true,true
9,src/covalent_ext/covapie_bulk_download_admission_admit_012_rule_logic_interface.py,python_source,100644,a7b8585ea6d0080e87fc97f29026fbf5df4667dff21729c95f3045d762a55840,a7b8585ea6d0080e87fc97f29026fbf5df4667dff21729c95f3045d762a55840,a7b8585ea6d0080e87fc97f29026fbf5df4667dff21729c95f3045d762a55840,a7b8585ea6d0080e87fc97f29026fbf5df4667dff21729c95f3045d762a55840,true,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_rule_logic_interface_v1/covapie_admit_012_rule_logic_interface_manifest.json,committed_manifest,100644,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,ad131895c0acfdaf5b350105031647bdcac9667370fb6cd43baf8826bea995c8,true,true,true,true,true,true,true,true,true
