audit_order,audit_kind,definition_name,definition_kind,reachable_from,normalized_ast_sha256,permitted_global_bindings,permitted_calls,observed,forbidden_io_absent,mutation_absent,dynamic_dispatch_absent,purity_passed
1,closure_definition,evaluate_admit_013,function,root,0b42e4c6e4d51e1b60a39af66d42ba3b0a86c5daa3e088bec1dbabb4995eb91f,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
2,closure_definition,_make_result,function,evaluate_admit_013,6c404d01cde2b88b4103996606421f975087dcc15fbdf6ac67985a8b9a109379,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
3,closure_definition,_business_reason,function,evaluate_admit_013,eb714b15ae11489501c7e6c3bc96fd8b66c2f926784a1870d67f6329ef68af52,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
4,closure_definition,Admit013EvaluationResult,frozen_dataclass,_make_result|_business_reason,30793fc44c5522e9408241349b1801e8591bdb21fe5f8008238dd0bee59ae113,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
5,closure_definition,Admit013EvaluationResult.__post_init__,method,Admit013EvaluationResult,5d3d041f10e11e204d5eb0e9b2ff754a4b71d6bff801c63603de85c2fd6ae2d5,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
6,closure_definition,_download_value_valid,function,evaluate_admit_013|Admit013EvaluationResult.__post_init__,5da80ba5d90e13579caca05cc291d05a05e7be4e080d486a557f371ce4bfc815,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
7,closure_definition,_authority_value_valid,function,evaluate_admit_013|Admit013EvaluationResult.__post_init__,ff60eb0868bdc31784cc8be92e05260a170b39f654092513c3166199faea0919,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
8,closure_definition,_pair_record_shape_valid,function,Admit013EvaluationResult.__post_init__,6aaa58c523af2eaf7e1b23560ee2977cbbbe2d7967d6f4f6a4879ebff625b1ef,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
9,closure_definition,_name_tuple_valid,function,Admit013EvaluationResult.__post_init__,8428ddcce209873193f9cc59690ed9ac915f6811e3b685ca5107cfcd6014a030,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
10,closure_definition,_MissingAdmit013Value,private sentinel class,evaluate_admit_013|signature_defaults|_MISSING,036c3099407e7a052d48a6a6dc37b269b41c7144bfe52a0c1e96eb623944ca0b,immutable_formal_constants|pure_helpers,exact_builtin_and_formal_helper_calls,reachable_and_frozen,true,true,true,true
11,closure_metadata,production_full_sha256,attestation,checker_recomputed,,,,36a4d3080128dadcecbdda25c5a3e143ac054aba001e7ac9cd7de0e2c51307f4,true,true,true,true
12,closure_metadata,marker_prefix_sha256,attestation,checker_recomputed,,,,e5b6e3e51022b342f022f38a498d7b64e7b882382ea887260d34acf9ea0e00c2,true,true,true,true
13,closure_metadata,closure_complete,attestation,checker_recomputed,,,,evaluate_admit_013|_make_result|_business_reason|Admit013EvaluationResult|Admit013EvaluationResult.__post_init__|_download_value_valid|_authority_value_valid|_pair_record_shape_valid|_name_tuple_valid|_MissingAdmit013Value,true,true,true,true
14,closure_metadata,forbidden_io,attestation,checker_recomputed,,,,open|Path_IO|os_IO|subprocess|socket|provider|raw absent,true,true,true,true
15,closure_metadata,forbidden_dynamic_dispatch,attestation,checker_recomputed,,,,import_in_function|eval|exec|getattr|globals|locals absent,true,true,true,true
16,closure_metadata,mutable_global_state,attestation,checker_recomputed,,,,absent,true,true,true,true
