source_order,source_relative_path,expected_sha256,base_tree_mode,tracked,base_tree_blob,filesystem_regular,non_symlink,parent_chain_non_symlink,safe_descendant,pinned_fd_read,post_read_identity_verified,source_verified
1,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,100644,true,true,true,true,true,true,true,true,true
2,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,100644,true,true,true,true,true,true,true,true,true
3,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_safety_audit.csv,388869caf582bdf624d0016cae385dc2268f6cc05f54ecc9bf140608bbd3b208,100644,true,true,true,true,true,true,true,true,true
4,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_design_gate_manifest.json,085cb2f2a6bfe9bebe9e503dd10aa0b4d6f9ad754ff99539b1bafb33c78b5444,100644,true,true,true,true,true,true,true,true,true
5,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,100644,true,true,true,true,true,true,true,true,true
6,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,100644,true,true,true,true,true,true,true,true,true
7,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,100644,true,true,true,true,true,true,true,true,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,100644,true,true,true,true,true,true,true,true,true
9,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013.py,79f95b6e178044ff5b4f5abbd6445b6cd848e81ba1a8a16cacdf831b05b9b892,100644,true,true,true,true,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_contract.csv,035effd65ca65ed1442bb7a29c03986390209f6d129d2ae078e223101c6a6144,100644,true,true,true,true,true,true,true,true,true
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_issue_readiness_inventory.csv,477b4192579d3f64dac5bd0cc61c1a378b2f28c3355251e344b79999801a5d69,100644,true,true,true,true,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_safety_audit.csv,4b0c11cb59193bdfea9b7011e63ad4262cbbff2c1d57fd276de064997c28d8b4,100644,true,true,true,true,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_manifest.json,2940e6cc02a92b4919cdece3b1fa7c2f5e27d844f2962bb18757197266c23f79,100644,true,true,true,true,true,true,true,true,true
14,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_safety_training_boundary_audit.csv,8ea6a53d04456443014ba250a0cfacf4983e39d2138d7035ad188dc1dcceebe5,100644,true,true,true,true,true,true,true,true,true
15,data/derived/covalent_small/covapie_final_dataset_qa_gate_v1/covapie_final_dataset_qa_v1_manifest.json,4f7c884379f926af52101f40a7870b243f0309af3b1637dc65c8c0691acf9f35,100644,true,true,true,true,true,true,true,true,true
