inventory_order,state_item,source_path,source_field_or_row,expected_current_state,observed_current_state,authority_classification,state_passed
1,Step14AT ADMIT_014 registry identity,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,ADMIT_014 row,exact canonical identity,exact canonical identity,authoritative,true
2,Step14AT current download permission,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,required_status,bulk_download_not_authorized_now,bulk_download_not_authorized_now,authoritative,true
3,Step14AT network execution,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_safety_audit.csv,network_access_used_current_step,false,false,authoritative,true
4,Step14AT queue/manifest/raw writes,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_safety_audit.csv,three safety rows,false|false|false,false|false|false,authoritative,true
5,Step14AT bulk readiness,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_design_gate_manifest.json,ready_for_bulk_download_now,false,false,authoritative,true
6,Step14AU-A rule row,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,ADMIT_014 row,semantics_complete=true; rule_logic_ready,semantics_complete=true; rule_logic_ready,authoritative,true
7,Step14AU-A current_stage_download_authorized context,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,current_stage_download_authorized row,context_scope=stage|required_by_rules=ADMIT_014|provided_by_future_caller=true|exact_contract_defined=true|implementation_ready=true,context_scope=stage|required_by_rules=ADMIT_014|provided_by_future_caller=true|exact_contract_defined=true|implementation_ready=true,authoritative,true
8,Step14AU-A overall semantics,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,all_rule_semantics_complete,false,false,authoritative,true
9,Exact13 registered IDs,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_manifest.json,registered_rule_ids,ADMIT_001..ADMIT_013,ADMIT_001..ADMIT_013,authoritative,true
10,Exact13 known-not-registered IDs,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_manifest.json,known_not_registered_rule_ids,ADMIT_014|ADMIT_015,ADMIT_014|ADMIT_015,authoritative,true
11,Exact13 issue coverage after,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_manifest.json,issue_coverage_after,ADMIT_014|ADMIT_015,ADMIT_014|ADMIT_015,authoritative,true
12,provider/download/raw/network/training flags,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1/covapie_admit_001_to_013_runtime_safety_audit.csv,safety rows 20..27,all false,all false,authoritative,true
13,current base commit identity,.git,base identity,3ec07b2daa7e6fc2d51df2641e85c13be2196ff3,3ec07b2daa7e6fc2d51df2641e85c13be2196ff3,authoritative,true
