contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,rule,ADMIT_012|future_download_integrity_fields_required|covapie_admit_012_unified_adapter_v1,frozen
2,CONTRACT_002,identity,formal_evaluator,evaluate_admit_012|Admit012EvaluationResult,frozen
3,CONTRACT_003,registry,current_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011,frozen
4,CONTRACT_004,registry,future_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012,frozen
5,CONTRACT_005,registry,known_ids,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,frozen
6,CONTRACT_006,routing,five_envelopes,candidate_record|batch_context|evaluation_context|download_result_context|stage_authorization_context,frozen
7,CONTRACT_007,routing,precedence,batch_context_must_be_none|evaluation_context_mapping_validation|allowed_download_result_statuses_required_key_lookup|successful_http_status_contract_required_key_lookup|content_length_contract_required_key_lookup|sha256_format_contract_required_key_lookup|download_result_context_mapping_validation|stage_authorization_context_must_be_none|candidate_record_mapping_validation|download_result_exact4_lookup_first_missing_stops|formal_evaluator_exactly_once|standalone_source_exact10_validation|independent_oracle_exactly_once|full_exact10_equality|typed_to_string_exact13_projection,frozen
8,CONTRACT_008,candidate,mapping_only,Mapping_envelope_only_zero_key_access,frozen
9,CONTRACT_009,candidate,formal_source,none,frozen
10,CONTRACT_010,candidate,non_mapping_reason,ADMIT_012_CANDIDATE_RECORD_MAPPING_INVALID,frozen
11,CONTRACT_011,batch,required_value,None,frozen
12,CONTRACT_012,stage,required_value,None,frozen
13,CONTRACT_013,evaluation,mapping_and_ordered_keys,allowed_download_result_statuses|successful_http_status_contract|content_length_contract|sha256_format_contract,frozen
14,CONTRACT_014,download_result,mapping_and_ordered_keys,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,frozen
15,CONTRACT_015,download_result,missing,omit_keyword_and_stop_later_lookup,frozen
16,CONTRACT_016,download_result,private_sentinel,not_imported_or_passed,frozen
17,CONTRACT_017,formal,call,keyword_only_exactly_once_after_routing,frozen
18,CONTRACT_018,formal,identity,all_present_fields_and_contexts_preserved,frozen
19,CONTRACT_019,oracle,call,same_kwargs_exactly_once_after_source_validation,frozen
20,CONTRACT_020,oracle,result_type,Admit012EvaluationResultContractDesign,frozen
21,CONTRACT_021,source,exact10_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_download_result_record|validated_download_result_fields|consumed_download_result_fields|consumed_context_items|evaluator_io_used,frozen
22,CONTRACT_022,source,validation,exact_type_storage_order_types_reconstruction_reason_invariants,frozen
23,CONTRACT_023,source,oracle_equality,all_Exact10_values_and_types_equal,frozen
24,CONTRACT_024,projection,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
25,CONTRACT_025,projection,canonical,canonical_download_result_record_to_normalized_values,frozen
26,CONTRACT_026,projection,validated,validated_download_result_fields_to_historical_validated_candidate_fields,frozen
27,CONTRACT_027,projection,consumed,consumed_download_result_fields_to_historical_consumed_candidate_fields,frozen
28,CONTRACT_028,projection,string_rule,status_and_sha_exact_str_unchanged|http_and_content_exact_int_to_base10_ASCII_str,frozen
29,CONTRACT_029,projection,strict_types,bool_int_subclass_str_subclass_rejected,frozen
30,CONTRACT_030,projection,no_schema_widening,Exact13_string_pairs_only,frozen
31,CONTRACT_031,dispatch,source_type,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_012_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,frozen
32,CONTRACT_032,dispatch,source_invariant,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|ADMIT_012_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,frozen
33,CONTRACT_033,boundary,runtime,design_only_no_handler_registry_dispatcher_or_result_v2,frozen
34,CONTRACT_034,boundary,admit_013,not_implemented_or_judged,frozen
35,CONTRACT_035,boundary,operations,no_provider_raw_network_download_model_checkpoint_training,frozen
36,CONTRACT_036,training,prerequisite,feature_semantics_audit_required_Step12D_smoke_only,frozen
