contract_item_id,contract_area,field_or_tag,requirement,expected_value,observed_value,contract_passed,blocking_reason
P4C_001,lineage,previous_stage,exact P3 predecessor,covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1,covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1,true,
P4C_002,lineage,predecessor_field_count,P3 fields,22,22,true,
P4C_003,lineage,predecessor_issue_count,P3 domain issues,10,10,true,
P4C_004,scope,design_only,no execution,true,true,true,
P4C_005,scope,parser_provider_implemented,parser and provider unchanged,false|false,false|false,true,
P4C_006,scope,canonical_mask_B3,B3 preserved,scaffold_only/B3,scaffold_only/B3,true,
P4C_007,parser_tags,exact_registry,exact three source tags,_atom_site.pdbx_PDB_ins_code|_struct_conn.pdbx_ptnr1_PDB_ins_code|_struct_conn.pdbx_ptnr2_PDB_ins_code,_atom_site.pdbx_PDB_ins_code|_struct_conn.pdbx_ptnr1_PDB_ins_code|_struct_conn.pdbx_ptnr2_PDB_ins_code,true,
P4C_008,parser_tags,partner_side,ptnr1 and ptnr2 exact selection,true,true,true,
P4C_009,parser_tags,atom_site_row,matched atom-site row identity validated,true,true,true,
P4C_010,parser_tags,raw_token,preserve raw without normalization or index inference,true,true,true,
P4C_011,classifier,token_classes,exact six classes,explicit_token|dot_not_applicable|question_unknown|tag_missing|parsed_empty|invalid_token,explicit_token|dot_not_applicable|question_unknown|tag_missing|parsed_empty|invalid_token,true,
P4C_012,classifier,exact_input_types,exact types and invalid token fail closed,true,true,true,
P4C_013,classifier,dot_and_question,distinct dot and question classes,dot_not_applicable|question_unknown,dot_not_applicable|question_unknown,true,
P4C_014,classifier,missing_and_empty,missing and parsed empty remain distinct,tag_missing|parsed_empty,tag_missing|parsed_empty,true,
P4C_015,resolution,explicit_agreement,dual exact token,present:A,present:A,true,
P4C_016,resolution,dot_agreement,dual dot,absent:,absent:,true,
P4C_017,resolution,conflict,explicit conflict blocks,unknown:true,unknown:true,true,
P4C_018,resolution,unknown_and_invalid,unknown and invalid evidence block,true,true,true,
P4C_019,resolution,one_sided_promotion,one-sided evidence forbidden,true,true,true,
P4C_020,provider,output_fields,exact five P3 fields,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,true,
P4C_021,provider,namespace,provider recomputes auth namespace evidence,auth,auth,true,
P4C_022,namespace,auth_evidence,auth selection binds auth values,true,true,true,
P4C_023,namespace,label_evidence,label selection binds label values,true,true,true,
P4C_024,namespace,mixed_selection,mixed auth/label selection rejected,true,true,true,
P4C_025,namespace,selected_mismatch,selected pair mismatch rejected,true,true,true,
P4C_026,namespace,auth_label_conflict,conflict recorded but explicit selection passes,true,true,true,
P4C_027,provider,source_id_template,frozen opaque template,covapie:residue-locator:SPREP_000001:covale1:ptnr1,covapie:residue-locator:SPREP_000001:covale1:ptnr1,true,
P4C_028,provider,p2_validations,source ID and SHA256 pass P2 helpers,true,true,true,
P4C_029,provider,internal_resolution,provider recomputes raw evidence,present:A,present:A,true,
P4C_030,provider,forged_resolution,caller cannot inject resolved state,true,true,true,
P4C_031,payload,key_set,exact canonical keys,schema_version|sample_preparation_input_id|pdb_id|conn_id|residue_partner_side|locator_namespace|struct_conn_residue_auth_asym_id|struct_conn_residue_auth_seq_id|struct_conn_residue_label_asym_id|struct_conn_residue_label_seq_id|selected_chain_id|selected_residue_index|matched_atom_site_id|matched_residue_atom_name|struct_conn_insertion_source_tag|struct_conn_insertion_raw_value|atom_site_insertion_source_tag|atom_site_insertion_raw_value|resolved_insertion_state|resolved_insertion_value,schema_version|sample_preparation_input_id|pdb_id|conn_id|residue_partner_side|locator_namespace|struct_conn_residue_auth_asym_id|struct_conn_residue_auth_seq_id|struct_conn_residue_label_asym_id|struct_conn_residue_label_seq_id|selected_chain_id|selected_residue_index|matched_atom_site_id|matched_residue_atom_name|struct_conn_insertion_source_tag|struct_conn_insertion_raw_value|atom_site_insertion_source_tag|atom_site_insertion_raw_value|resolved_insertion_state|resolved_insertion_value,true,
P4C_032,payload,schema_version,exact schema,covapie_residue_locator_provenance_payload_v1,covapie_residue_locator_provenance_payload_v1,true,
P4C_033,payload,kwargs_order,kwargs insertion order independent,true,true,true,
P4C_034,payload,dict_order,payload dict order independent,true,true,true,
P4C_035,payload,missing_tag_encoding,missing tag uses empty tag and raw,true,true,true,
P4C_036,payload,parsed_empty_encoding,parsed empty uses exact tags,true,true,true,
P4C_037,payload,missing_empty_hash,missing and parsed empty hashes differ,true,true,true,
P4C_038,payload,partner_tag_binding,struct tag bound to partner side,true,true,true,
P4C_039,payload,resolved_self_consistency,resolved state cannot contradict evidence,true,true,true,
P4C_040,payload,namespace_hash_binding,auth and label selections hash differently,true,true,true,
P4C_041,payload,atom_site_row_hash_binding,matched atom-site row changes hash,true,true,true,
P4C_042,payload,standalone_source_id,standalone payload reapplies source-ID contract,true,true,true,
P4C_043,source_id,nonempty,empty components rejected,true,true,true,
P4C_044,source_id,separator_collision,colon and path separators rejected,true,true,true,
P4C_045,readiness,implementation_run,implementation not run,false,false,true,
P4C_046,readiness,unknown_admit_e1,11 unknown and ADMIT_004/E1 blocked,11|false|false,11|false|false,true,
P4C_047,safety,candidate_download_training,all unauthorized,false|false|false,false|false|false,true,
P4C_048,safety,feature_semantics_audit,required before training,true,true,true,
