sample_index_row_id,pdb_id,ligand_identity,candidate_reaction_family_id,candidate_warhead_rule_id,candidate_assignment_exact_one,candidate_matches_effective_boundary_authority,candidate_matches_pre_reaction_graph,candidate_matches_reaction_delta,candidate_matches_reactive_atoms,boundary_review_completed,selected_candidate_identity_attested,reaction_family_identity_explicitly_attested,warhead_rule_identity_explicitly_attested,warhead_rule_full_semantics_explicitly_attested,approved_structural_pattern_attested,reaction_family_version,reaction_family_structural_basis,reaction_family_authority_status,reaction_family_authority_source,warhead_rule_version,warhead_rule_structural_representation_type,warhead_rule_structural_representation_id,warhead_rule_required_fields_complete,warhead_rule_approval_status,warhead_rule_authority_source,binding_conflicts,binding_blockers,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,COVAPIE_CYS_SG_REACTION_FAMILY_DC230CD72B1283D2,COVAPIE_CYS_SG_WARHEAD_RULE_EE022EB419200D14,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,COVAPIE_CYS_SG_REACTION_FAMILY_888A8E40AB92B0F8,COVAPIE_CYS_SG_WARHEAD_RULE_DF48FCEE8872B92A,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,true,true,true,true,true,true,true,false,false,false,false,,,candidate_only,E04|E05|S01,,,,false,candidate_only,E04|E05|E09|E10|S01,,reaction_family_version_missing;reaction_family_structural_basis_not_formally_approved;reaction_family_identity_attestation_missing;warhead_rule_version_missing;warhead_rule_identity_attestation_missing;warhead_rule_full_semantics_attestation_missing;approved_structural_representation_missing;warhead_rule_required_fields_incomplete;warhead_rule_approval_missing,true
