evidence_id,source_namespace,source_commit,source_path,source_sha256,authority_class,provides_dimensions,lineage_note,verified
E01,git_object,0e36e3131750dcb99f806ec635afeae2b0b0dc88,data/derived/covalent_small/covapie_role_annotation_input_authority_gap_resolution_v1/covapie_current11_role_input_authority_matrix.csv,fc7897121bf216488c239ecd2ad678bc23501f72db1fea85212b083c5af7b06b,predecessor_result,candidate_status_baseline,latest_gap_matrix,true
E02,git_object,0e36e3131750dcb99f806ec635afeae2b0b0dc88,data/derived/covalent_small/covapie_role_annotation_input_authority_gap_resolution_v1/covapie_role_input_authority_semantics_registry.csv,6e08352146376bc3a4635b9c2a3155246e4a69dbc1a560c580573548a2479adb,predecessor_contract,authority_semantics,latest_gap_semantics,true
E03,git_object,0e36e3131750dcb99f806ec635afeae2b0b0dc88,data/derived/covalent_small/covapie_role_annotation_input_authority_gap_resolution_v1/covapie_role_input_authority_gap_resolution_manifest.json,a9a21691c553d07df8632eaa1f307f659e3aae4584af11914e9297fea0e9bcce,predecessor_result,predecessor_readiness,latest_gap_manifest,true
E04,git_object,0c8d1d10260a028360357b8c309f22676fc81645,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,candidate_only,sample_candidate_identity,sample_candidate_assignments,true
E05,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,candidate_only,candidate_rule_semantics,unapproved_candidate_rule_registry,true
E06,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,structural_authority,reactive_atom_and_graph,observed_parent_mapping,true
E07,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_parent_and_observed_projected_bond_authority.csv,bd31b7c074c3d4226c26bfe0210b9c3460f38c5087f1157b1167749f91bfffe0,structural_authority,bond_order_and_reaction_delta,pre_reaction_bonds_and_orders,true
E08,git_object,68c5ca5cf1ce5b20be5db9ce0b37e10830c09288,data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_projection_readiness_matrix.csv,ec7bb2c203a7b13f525c413171b734fdd9f8af934b6e7e8eaf3fc6ae141128a0,structural_authority,graph_sha,graph_readiness_and_sha,true
E09,git_object,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,contract,complete_rule_contract,role_seed_predecessor_rule_contract,true
E10,git_object,0fda7b9e8fc56941e005f3e8b5e67fa2ceaa4ca1,data/derived/covalent_small/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1/covapie_ligand_role_and_minimal_seed_annotation_contract_design_manifest.json,cf79865f91ef140b6c69010ce2e56c2ff24937a5aa7fa3eac0f8c53bc907764a,contract,complete_rule_fields,predecessor_warhead_rule_fields,true
