boundary_item,current_step_status,boundary_safety_passed,qa_comment
final_dataset_qa_gate,executed_qa_gate_only,True,final dataset QA boundary respected
read_step13bo_smoke_preview,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13bo_smoke_audits,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13bn_design_artifacts,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13bm_feature_semantics_artifacts,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13bk_split_unit_preview,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13bh_sample_index,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
read_step13be_extracted_tables,executed_derived_csv_json_read_only,True,final dataset QA boundary respected
final_dataset_smoke_preview_write_current_step,not_executed_current_step_already_completed_previous_step,True,final dataset QA boundary respected
real_final_dataset_write,blocked_current_step,True,final dataset QA boundary respected
generic_final_dataset_smoke_write,blocked_current_step,True,final dataset QA boundary respected
new_sample_index_write,blocked_current_step,True,final dataset QA boundary respected
split_assignment_write,blocked_current_step,True,final dataset QA boundary respected
leakage_matrix_write,blocked_current_step,True,final dataset QA boundary respected
dataloader_smoke,blocked_current_step,True,final dataset QA boundary respected
training,blocked_current_step,True,final dataset QA boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,final dataset QA boundary respected
raw_cif_mmcif_sdf_pdb_gzip_read,not_executed_or_not_allowed,True,final dataset QA boundary respected
mmcif_parse,not_executed_or_not_allowed,True,final dataset QA boundary respected
atom_site_scan,not_executed_or_not_allowed,True,final dataset QA boundary respected
struct_conn_scan,not_executed_or_not_allowed,True,final dataset QA boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,final dataset QA boundary respected
network_access,not_executed_or_not_allowed,True,final dataset QA boundary respected
raw_download,not_executed_or_not_allowed,True,final dataset QA boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,final dataset QA boundary respected
torch_model_training,not_executed_or_not_allowed,True,final dataset QA boundary respected
