final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,candidate_metadata_id,pdb_id,het_code,mask_task_name,mask_task_alias,source_sample_index_row_found,source_split_unit_found,parent_event_group_bound_to_one_split_unit,sample_id_matches_source,split_unit_matches_step13bk,final_dataset_smoke_row_materialized_previous_step,final_dataset_smoke_preview_rewritten_current_step,real_final_dataset_materialized,dataloader_ready,ready_for_training,row_lineage_qa_passed,qa_comment
final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,warhead_only,A,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,linker_plus_warhead,B,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_warhead,B2,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_only,B3,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,warhead_only,A,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,linker_plus_warhead,B,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_warhead,B2,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_only,B3,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_linker_plus_warhead,C,True,True,True,True,True,True,False,False,False,False,True,Step 13BO smoke row lineage validated without rewriting preview or materializing real final dataset
