blocker_item,expected_status,observed_status,blocker_preserved_in_all_rows,required_before_training,blocker_qa_passed,qa_comment
feature_semantics_known_for_training_false,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
unknown_atom_feature_policy_not_finalized,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
scaffold_linker_warhead_annotation_required,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
warhead_type_label_required,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
ligand_residue_atom_pair_label_audit_required,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
pre_post_geometry_label_audit_required,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
pre_covalent_geometry_not_materialized,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
final_dataset_smoke_preview_only,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
no_real_final_dataset_written,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
no_dataloader_smoke,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
no_training_current_step,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
ready_for_training_false,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
step12d_smoke_not_final_feature_semantics_audit,preserved,preserved,True,True,True,training blocker preserved after final dataset smoke preview QA
