decision_application_diff_item,observed_value,expected_value,decision_application_diff_passed,blocking_reasons
step14v_decision_input_row_count,3,3,True,
step14v_future_ready_materialization_manifest_count,3,3,True,
step14v_blocked_carry_forward_count,2,2,True,
applied_decision_row_count,5,5,True,
ready_materialization_input_count,3,3,True,
blocked_carry_forward_applied_count,2,2,True,
ready_candidate_count_current_step,0,0,True,
ready_for_training_candidate_count_current_step,0,0,True,
accepted_pairs_match_expected,"[""6BV6/JUG"", ""6BV8/JUG"", ""6BV5/JUG""]","[""6BV6/JUG"", ""6BV8/JUG"", ""6BV5/JUG""]",True,
blocked_pairs_match_expected,"[""1A54/MDC"", ""6BV9/JUG""]","[""1A54/MDC"", ""6BV9/JUG""]",True,
step14v_artifacts_unchanged,True,True,True,
