policy_item,policy_description,policy_contract_passed
decision_application_gate_only,This step applies user decisions only into decision application artifacts.,True
applies_user_decisions_without_creating_ready_candidates,Applied decisions produce materialization inputs but not ready candidates.,True
ready_materialization_input_is_not_ready_candidate,Ready materialization input rows still require a later materialization gate.,True
blocked_inputs_remain_not_ready,Blocked inputs remain excluded from ready materialization inputs.,True
no_training_current_step,No training is allowed or performed.,True
no_sample_or_final_dataset_current_step,No sample index or final dataset is written.,True
no_split_or_leakage_current_step,No split assignment or leakage matrix is written.,True
ready_candidate_materialization_gate_required_next,The next step must be the ready candidate materialization gate.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split design remains required before training.,True
canonical_five_masks_preserved,The canonical five masks remain unchanged.,True
do_not_train_from_application_artifacts,Decision application artifacts are not training inputs.,True
