invariant_area,invariant_item,evidence_case_id,mutation_or_positive_probe,expected_outcome,expected_reason,observed_outcome,observed_reason,expected_projection,observed_projection,verified
stage_exact12,storage_and_dataclass_order,reversed_storage,reverse exact StageResult storage,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_exact12,exact_top_level_types,candidate_count_bool_as_int,mutate exact int to bool,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_exact12,reconstructability,reconstruction_mismatch,add non-reconstructable storage,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_exact12,schema_version,schema,mutate stage schema,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
stage_exact12,positive_complete_graph,committed_orchestrator_download_scope,actual committed runtime result,blocked,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,blocked,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[0]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[]"",""outcome"":""blocked"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[0]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[0]"",""invalid_candidate_indexes"":""[]"",""outcome"":""blocked"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""download_execution_permission""}",true
scope,download_scope_only,training_execution_admission_permission,valid non-download scope,invalid,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,invalid,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_SCOPE_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""training_execution_admission_permission""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""1"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_SCOPE_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""training_execution_admission_permission""}",true
membership,required_rule_ids_exact,required_membership,remove required membership,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
membership,stage_global_rule_ids_exact,stage_membership,remove stage membership,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
membership,candidate_rule_ids_exact,candidate_membership,remove candidate membership,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
cardinality,dispatcher_formula,dispatcher_count,mutate dispatcher count,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,invalid,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,"{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}","{""action_permission_granted"":""false"",""blocked_candidate_indexes"":""[]"",""blocks_download"":""true"",""call_site_io_used"":""false"",""candidate_count"":""0"",""download_action_invoked"":""false"",""failing_candidate_indexes"":""[]"",""invalid_candidate_indexes"":""[]"",""outcome"":""invalid"",""passed"":""false"",""reason"":""BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID"",""schema_version"":""covapie_bulk_download_stage_orchestration_call_site_decision_v1"",""source_error_code"":"""",""source_kind"":""orchestration_result"",""source_scope_id"":""""}",true
