source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate.py,py,committed design source and independent oracle identity,true,true,true,true,bf20595836e9b178252d37ca72229641a466b97e7510d2ff535e015599110f26,bf20595836e9b178252d37ca72229641a466b97e7510d2ff535e015599110f26,bf20595836e9b178252d37ca72229641a466b97e7510d2ff535e015599110f26,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_key_contract_manifest.json,json,design manifest counts readiness boundaries and hashes,true,true,true,true,d0d0d19e491f27621214ee887f630a871c1a7cfaf4caca93778599b0162dc48c,d0d0d19e491f27621214ee887f630a871c1a7cfaf4caca93778599b0162dc48c,d0d0d19e491f27621214ee887f630a871c1a7cfaf4caca93778599b0162dc48c,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_key_contract.csv,csv,Exact34 duplicate key contract,true,true,true,true,484072cd901f7ba5264d207202be493477fb16cc4ddfad4341eabd19d8495a85,484072cd901f7ba5264d207202be493477fb16cc4ddfad4341eabd19d8495a85,484072cd901f7ba5264d207202be493477fb16cc4ddfad4341eabd19d8495a85,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_batch_and_policy_context_contract.csv,csv,Exact15 policy and batch context contract,true,true,true,true,38ac90e04316d8efc8794d88d749a3fafc69a0ef66de5cf76cdfd82f6d9a9b57,38ac90e04316d8efc8794d88d749a3fafc69a0ef66de5cf76cdfd82f6d9a9b57,38ac90e04316d8efc8794d88d749a3fafc69a0ef66de5cf76cdfd82f6d9a9b57,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_equivalence_and_provider_boundary_matrix.csv,csv,Exact18 equivalence and provider boundary,true,true,true,true,7b1d09956be5fa76f8b141c10a2a8efb895119271cfd75b9e816c37c88513297,7b1d09956be5fa76f8b141c10a2a8efb895119271cfd75b9e816c37c88513297,7b1d09956be5fa76f8b141c10a2a8efb895119271cfd75b9e816c37c88513297,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_validation_truth_matrix.csv,csv,ordered committed Exact32 semantic oracle corpus,true,true,true,true,762255cc85a12501ccb592a6f3e82ea100221d33c244403386be743c99c64ac0,762255cc85a12501ccb592a6f3e82ea100221d33c244403386be743c99c64ac0,762255cc85a12501ccb592a6f3e82ea100221d33c244403386be743c99c64ac0,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,csv,authoritative Exact11 issue inventory preservation baseline,true,true,true,true,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_formal_evaluator_preconditions_manifest.json,json,historical Exact24 formal evaluator precondition boundary,true,true,true,true,5d1be882bc51c3fad5eefa5dc106dec43ba5842eda0696c06eb04473db33a37b,5d1be882bc51c3fad5eefa5dc106dec43ba5842eda0696c06eb04473db33a37b,5d1be882bc51c3fad5eefa5dc106dec43ba5842eda0696c06eb04473db33a37b,true
9,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008.py,py,current literal Exact8 runtime with absent ADMIT_009 registration,true,true,true,true,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,b5022ee4b6a4e965cf783abf15e70a5909860f4f500c89f983fb41b6b8fd87e2,true
10,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_manifest.json,json,current Exact8 runtime readiness and registry boundary,true,true,true,true,6047e110c29d8ca7300236f8af8dbce31a92f2a62576cbc2a8fa2d5d1baf32cf,6047e110c29d8ca7300236f8af8dbce31a92f2a62576cbc2a8fa2d5d1baf32cf,6047e110c29d8ca7300236f8af8dbce31a92f2a62576cbc2a8fa2d5d1baf32cf,true
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_008_v1/covapie_admit_001_to_008_runtime_issue_inventory.csv,csv,current Exact8 runtime issue coverage cross-check,true,true,true,true,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,true
12,src/covalent_ext/covapie_bulk_download_admission_admit_008_rule_logic_interface.py,py,mature ADMIT_008 standalone structural precedent,true,true,true,true,e26985c71dd5e86fbafe8f4cc5bb2051d1de0d59fb01677e58cf65ef2e7d2e01,e26985c71dd5e86fbafe8f4cc5bb2051d1de0d59fb01677e58cf65ef2e7d2e01,e26985c71dd5e86fbafe8f4cc5bb2051d1de0d59fb01677e58cf65ef2e7d2e01,true
13,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_result_schema_and_outcome_contract.csv,csv,unified result blocks_candidate and reason invariants,true,true,true,true,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,true
