safety_item,expected_executed,observed_executed,safety_passed
formal_evaluator_implementation,true,true,true
exact10_result_class,true,true,true
exact32_equivalence,true,true,true
result_invariant_enforcement,true,true,true
pure_call_graph_validation,true,true,true
deterministic_materialization,true,true,true
source_verification,true,true,true
issue_byte_preservation,true,true,true
provider_key_generation,false,false,true
provider_mapping,false,false,true
real_candidate_evaluation,false,false,true
adapter_design,false,false,true
adapter_implementation,false,false,true
admit_009_registration,false,false,true
exact9_runtime,false,false,true
admit_010,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
raw_read,false,false,true
network,false,false,true
bulk_download,false,false,true
checkpoint,false,false,true
torch_numpy_rdkit,false,false,true
model_forward_loss,false,false,true
training_fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
