source_order,source_relative_path,source_kind,base_tree_mode,base_tree_sha256,filesystem_sha256,tracked_regular_non_symlink,parent_chain_verified,pinned_fd_read,triple_sha256_passed,source_boundary_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,committed_csv,100644,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,true,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,committed_csv,100644,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,true,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,committed_csv,100644,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,committed_csv,100644,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,true,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_field_matrix.csv,committed_csv,100644,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,true,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_rule_matrix.csv,committed_csv,100644,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,true,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_issue_transition_inventory.csv,committed_csv,100644,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,true,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,committed_manifest,100644,c442d31cebaea6b8e3ae5dbda232cc5ba377eb74a2ca68c2437ce0b43a39e6c0,c442d31cebaea6b8e3ae5dbda232cc5ba377eb74a2ca68c2437ce0b43a39e6c0,true,true,true,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,committed_csv,100644,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,true,true,true,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_field_matrix.csv,committed_csv,100644,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,true,true,true,true,true
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_rule_matrix.csv,committed_csv,100644,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,true,true,true,true,true
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_issue_inventory.csv,committed_csv,100644,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,true,true,true,true,true
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,committed_manifest,100644,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,true,true,true,true,true
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true,true,true,true
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true,true,true,true
16,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,committed_csv,100644,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,true,true,true,true,true
17,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,committed_csv,100644,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,true,true,true,true,true
18,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true,true,true,true,true
19,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,committed_csv,100644,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true,true,true,true,true
20,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,committed_csv,100644,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true,true,true,true
21,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true,true,true,true
22,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,committed_csv,100644,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true,true,true,true,true
23,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,committed_csv,100644,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,true,true,true,true,true
24,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true,true,true,true
25,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,committed_csv,100644,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true,true,true,true
26,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,committed_csv,100644,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,229251600f0c6ae389633fff86af8859280b86664521ecce04c494906dc39695,true,true,true,true,true
27,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,committed_csv,100644,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true,true,true,true,true
28,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,committed_csv,100644,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,1c11f931b103fe8d523115b00f85d095956042ea1168741b8ec42bbf24a38128,true,true,true,true,true
29,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,committed_csv,100644,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,2c461d4416742dda734789ba6768995c6d641fb2d1b6c460a0f80ea194482e92,true,true,true,true,true
