value_order,field_name,source_path,representation,source_kind,real_observed_value,synthetic_example,placeholder,schema_only,produced_by_download_execution,admissible_as_semantic_evidence,notes
1,download_result_status,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,schema_field_declaration,schema_only,false,false,true,true,false,false,field identity only; no observed download result
2,observed_http_status,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,schema_field_declaration,schema_only,false,false,true,true,false,false,field identity only; no observed download result
3,observed_content_length_bytes,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,schema_field_declaration,schema_only,false,false,true,true,false,false,field identity only; no observed download result
4,observed_sha256,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,schema_field_declaration,schema_only,false,false,true,true,false,false,field identity only; no observed download result
5,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[0].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
6,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[1].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
7,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[2].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
8,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[3].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
9,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[4].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
10,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_design_manifest.json,static_literal_or_value:$.source_input_verification[5].observed_sha256,unrelated_source_attestation_hash,true,false,false,false,false,false,"historical source-attestation digest, not download-result semantics"
