occurrence_order,field_name,relative_path,file_role,occurrence_kind,declaring_or_referencing,phase_claim,type_claim,validation_claim,source_authority_level,current_contract_effect,occurrence_passed
1,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
2,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
3,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
4,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
5,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
6,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
7,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
8,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
9,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
10,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
