canonical_event_id,review_unit_id,source_template_sha256,published_event_inventory_sha256,canonical_five_mask_contract_sha256,completed_lane,task_domain_relevance_label_available,task_domain_relevance_label,positive_generative_supervision_eligible,reactive_atom_pair_label_available,protein_reactive_atom,ligand_reactive_atom,warhead_atom_set_label_available,warhead_atom_ids_json,role_partition_label_available,scaffold_atom_ids_json,linker_atom_ids_json,role_warhead_atom_ids_json,post_geometry_usability_label_available,post_geometry_training_usable,post_geometry_supervision_available,event_training_use_label_available,event_training_use_decision,approved_canonical_reaction_family_target_available,canonical_reaction_family_id,proposed_family_label_non_authoritative,proposed_family_label_is_training_class_target,warhead_type_classification_target_available,warhead_type_classification_target_id,warhead_type_classification_availability_status,production_family_authority_created,experimental_pre_geometry_target_available,experimental_pre_geometry_target,experimental_pre_geometry_availability_status,mask_A_warhead_only_available,mask_A_warhead_only_target_atom_ids_json,mask_B_linker_plus_warhead_available,mask_B_linker_plus_warhead_target_atom_ids_json,mask_B2_scaffold_plus_warhead_available,mask_B2_scaffold_plus_warhead_target_atom_ids_json,mask_B3_scaffold_only_available,mask_B3_scaffold_only_target_atom_ids_json,mask_C_scaffold_plus_linker_plus_warhead_available,mask_C_scaffold_plus_linker_plus_warhead_target_atom_ids_json,five_mask_derivation_status,label_availability_status
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:10-:SG:B:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:21-:SG:C:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:30-:SG:D:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:38-:SG:E:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:50-:SG:F:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:60-:SG:G:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:68-:SG:H:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:73-:SG:I:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:76-:SG:J:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:87-:SG:K:RCY:C1S,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,6c6ccf480f233695ed40a97773fa17f4ada9c3c264ae62d7ca58dc3515a8a4c7,ea4ec17fed58d2a7100173ada17a0956a5c37ef4690899f415a9b497c8508173,71e70349fd9f9db754e255dbcf1059734a0c3ce2e04e973b14b1e3edd2ab45e1,COMPLETED_TASK_DOMAIN_NEGATIVE,true,NOT_RELEVANT_TO_COVAPIE_SMALL_MOLECULE_TASK,false,false,,,false,,false,,,,false,,false,false,,false,,,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,false,,false,,false,,false,,false,,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE,NOT_APPLICABLE_TASK_DOMAIN_NEGATIVE
