failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,ready_for_role_annotation_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
reactive atom missing,reactive_atom_present=false,"{""reactive_atom_present"":false}",known_reactive_atom_missing,known_reactive_atom_missing,true,true,false,false,false,false,true
reactive atom outside ligand,reactive_atom_in_ligand=false,"{""reactive_atom_in_ligand"":false}",reactive_atom_outside_ligand,reactive_atom_outside_ligand,true,true,false,false,false,false,true
pre-reaction graph missing,pre_reaction_graph_present=false,"{""pre_reaction_graph_present"":false}",pre_reaction_graph_missing,pre_reaction_graph_missing,true,true,false,false,false,false,true
bond order missing,bond_orders_present=false,"{""bond_orders_present"":false}",pre_reaction_bond_orders_missing,pre_reaction_bond_orders_missing,true,true,false,false,false,false,true
reaction family missing,reaction_family_present=false,"{""reaction_family_present"":false}",reaction_family_missing,reaction_family_missing,true,true,false,false,false,false,true
approved warhead rule missing,approved_warhead_rule_present=false,"{""approved_warhead_rule_present"":false}",approved_warhead_rule_missing,approved_warhead_rule_missing,true,true,false,false,false,false,true
warhead SMARTS no match,warhead_match_count=0,"{""warhead_match_count"":0}",warhead_match_not_exact_one,warhead_match_not_exact_one,true,true,false,false,false,false,true
warhead SMARTS multiple distinct matches,warhead_distinct_set_count=2|warhead_match_count=2,"{""warhead_distinct_set_count"":2,""warhead_match_count"":2}",warhead_match_not_exact_one;warhead_atom_set_not_exact_one,warhead_match_not_exact_one;warhead_atom_set_not_exact_one,true,true,false,false,false,false,true
warhead match excludes known reactive atom,warhead_match_includes_reactive_atom=false,"{""warhead_match_includes_reactive_atom"":false}",warhead_match_excludes_reactive_atom,warhead_match_excludes_reactive_atom,true,true,false,false,false,false,true
warhead empty,warhead_nonempty=false,"{""warhead_nonempty"":false}",warhead_empty,warhead_empty,true,true,false,false,false,false,true
warhead boundary missing,warhead_boundary_count=0,"{""warhead_boundary_count"":0}",warhead_attachment_boundary_not_exact_one,warhead_attachment_boundary_not_exact_one,true,true,false,false,false,false,true
warhead boundary multiple,warhead_boundary_count=2,"{""warhead_boundary_count"":2}",warhead_attachment_boundary_not_exact_one,warhead_attachment_boundary_not_exact_one,true,true,false,false,false,false,true
Murcko empty without fallback,scaffold_core_or_fallback_present=false,"{""scaffold_core_or_fallback_present"":false}",scaffold_core_proposal_missing,scaffold_core_proposal_missing,true,true,false,false,false,false,true
multiple scaffold proposals unresolved,scaffold_proposals_unique=false,"{""scaffold_proposals_unique"":false}",multiple_scaffold_proposals_unresolved,multiple_scaffold_proposals_unresolved,true,true,false,false,false,false,true
ringless fallback marked auto-exact without review,"annotation_status=""auto_exact""|ringless_fallback_used=true|ringless_review_completed=false","{""annotation_status"":""auto_exact"",""ringless_fallback_used"":true,""ringless_review_completed"":false}",ringless_fallback_review_missing;ringless_fallback_auto_exact_forbidden,ringless_fallback_review_missing;ringless_fallback_auto_exact_forbidden,true,true,false,false,false,false,true
no linker bridge,linker_bridge_count=0,"{""linker_bridge_count"":0}",linker_bridge_not_exact_one,linker_bridge_not_exact_one,true,true,false,false,false,false,true
multiple linker bridges,linker_bridge_count=2,"{""linker_bridge_count"":2}",linker_bridge_not_exact_one,linker_bridge_not_exact_one,true,true,false,false,false,false,true
direct attachment no linker admitted in V1,direct_attachment_admitted=true|direct_attachment_present=true|linker_bridge_count=0|linker_nonempty=false,"{""direct_attachment_admitted"":true,""direct_attachment_present"":true,""linker_bridge_count"":0,""linker_nonempty"":false}",direct_attachment_no_linker_v1_quarantine,linker_bridge_not_exact_one;direct_attachment_no_linker_v1_quarantine;linker_empty,true,true,false,false,false,false,true
warhead-only-side component unexplained,warhead_side_component_explained=false,"{""warhead_side_component_explained"":false}",warhead_side_component_unexplained,warhead_side_component_unexplained,true,true,false,false,false,false,true
disconnected residual component,disconnected_residual_present=true,"{""disconnected_residual_present"":true}",disconnected_graph_blocked,disconnected_graph_blocked,true,true,false,false,false,false,true
partition overlap,partition_disjoint=false,"{""partition_disjoint"":false}",partition_overlap,partition_overlap,true,true,false,false,false,false,true
partition incomplete,partition_exhaustive=false,"{""partition_exhaustive"":false}",partition_incomplete,partition_incomplete,true,true,false,false,false,false,true
scaffold empty,scaffold_nonempty=false,"{""scaffold_nonempty"":false}",scaffold_empty,scaffold_empty,true,true,false,false,false,false,true
linker empty,linker_nonempty=false,"{""linker_nonempty"":false}",linker_empty,linker_empty,true,true,false,false,false,false,true
boundary bond missing,scaffold_linker_boundary_count=0,"{""scaffold_linker_boundary_count"":0}",scaffold_linker_boundary_not_exact_one,scaffold_linker_boundary_not_exact_one,true,true,false,false,false,false,true
boundary bond multiple,scaffold_linker_boundary_count=2,"{""scaffold_linker_boundary_count"":2}",scaffold_linker_boundary_not_exact_one,scaffold_linker_boundary_not_exact_one,true,true,false,false,false,false,true
seed outside scaffold,seed_subset_scaffold=false,"{""seed_subset_scaffold"":false}",seed_outside_scaffold,seed_outside_scaffold,true,true,false,false,false,false,true
seed overlaps linker,seed_overlaps_linker=true,"{""seed_overlaps_linker"":true}",seed_overlaps_linker,seed_overlaps_linker,true,true,false,false,false,false,true
seed overlaps warhead,seed_overlaps_warhead=true,"{""seed_overlaps_warhead"":true}",seed_overlaps_warhead,seed_overlaps_warhead,true,true,false,false,false,false,true
seed disconnected,seed_connected=false,"{""seed_connected"":false}",seed_disconnected,seed_disconnected,true,true,false,false,false,false,true
seed missing primary anchor,seed_has_primary_anchor=false,"{""seed_has_primary_anchor"":false}",seed_missing_primary_anchor,seed_missing_primary_anchor,true,true,false,false,false,false,true
seed size outside 2-3,seed_size=4,"{""seed_size"":4}",seed_size_not_2_or_3,seed_size_not_2_or_3,true,true,false,false,false,false,true
canonical ranking nondeterministic,canonical_ranking_deterministic=false,"{""canonical_ranking_deterministic"":false}",canonical_ranking_nondeterministic,canonical_ranking_nondeterministic,true,true,false,false,false,false,true
ambiguous annotation marked training eligible,"annotation_status=""ambiguous_blocked""|training_eligible=true","{""annotation_status"":""ambiguous_blocked"",""training_eligible"":true}",non_gold_annotation_training_eligible;ambiguous_annotation_training_eligible,non_gold_annotation_training_eligible;ambiguous_annotation_training_eligible,true,true,false,false,false,false,true
proposal_only marked gold,"annotation_status=""proposal_only""|current11_marked_gold=true","{""annotation_status"":""proposal_only"",""current11_marked_gold"":true}",non_gold_status_marked_gold,non_gold_status_marked_gold,true,true,false,false,false,false,true
human review missing but current11 marked gold,current11_marked_gold=true|human_review_completed=false,"{""current11_marked_gold"":true,""human_review_completed"":false}",gold_curated_without_human_review;current11_gold_without_human_review,gold_curated_without_human_review;current11_gold_without_human_review,true,true,false,false,false,false,true
