sample_index_row_id,retained_heavy_atom_mapping_available,ligand_reactive_atom_available,residue_reactive_atom_available,pre_reaction_connectivity_available,pre_reaction_bond_order_available,reaction_family_label_available,approved_warhead_rule_available,murcko_input_ready,brics_input_ready,role_proposal_generation_ready,minimal_seed_proposal_generation_ready,human_gold_review_completed,blocking_reasons,verified
CYS_SG_SAMPLE_INDEX_000001,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000002,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000003,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000004,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000005,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000006,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000007,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000008,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000009,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000010,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
CYS_SG_SAMPLE_INDEX_000011,true,true,true,false,false,false,false,false,false,false,false,false,atom_indexed_pre_reaction_connectivity_not_frozen;atom_indexed_pre_reaction_bond_orders_not_frozen;reaction_family_label_missing;approved_warhead_rule_missing;human_gold_review_missing;ccd_smiles_and_murcko_support_present_but_not_atom_index_authority,true
