contract_id,semantic_name,contract_category,input_authority,derivation_rule,value_type,index_space,cardinality,validity_semantics,ambiguity_semantics,current11_availability,status,blocking_reason,verified
LRMSC_001,role_vocabulary,role,contract,Exact3 closed set scaffold|linker|warhead,enum,retained_heavy_local_index_0based,exact3,no fourth role,outside vocabulary blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_002,role_atom_set_partition,role,retained heavy atoms,disjoint exhaustive partition,three index sets,retained_heavy_local_index_0based,all retained heavy atoms,no H; all roles nonempty,overlap or gap blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_003,warhead_match_contract,warhead,approved reaction-family rule,exact-one set including known reactive atom,index set,retained_heavy_local_index_0based,nonempty,pre-reaction topology only,zero or multiple sets blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_004,scaffold_core_proposal,scaffold,curated or Murcko/BRICS/fallback proposal,proposal metadata only,index set,retained_heavy_local_index_0based,one proposal,not a fourth role,incomparable proposals blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_005,linker_bridge,linker,accepted W and S_core plus graph,unique residual component touching both,index set,retained_heavy_local_index_0based,nonempty exact-one component,unique bridge,none or multiple blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_006,scaffold_remainder,scaffold,V W linker,V minus warhead minus linker,index set,retained_heavy_local_index_0based,nonempty,S_core subset scaffold,empty blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_007,scaffold_linker_boundary,boundary,accepted roles and graph,exact-one cross-role bond,atom pair,retained_heavy_local_index_0based,exact1,scaffold-to-linker,zero or multiple blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_008,linker_warhead_boundary,boundary,accepted roles and graph,exact-one frozen attachment,atom pair,retained_heavy_local_index_0based,exact1,linker-to-warhead,zero or multiple blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_009,minimal_seed,seed,unique scaffold-linker boundary,s0 plus canonical scaffold neighbor and optional plane anchor,index set,retained_heavy_local_index_0based,2 or 3,connected subset scaffold,tie or invalid seed blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_010,primary_direction_plane_anchors,seed,canonical ranks and explicit tie-break,s0 s1 optional s2,atom indices,retained_heavy_local_index_0based,2 required plus 1 optional,input numbering independent,unbreakable tie blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_011,annotation_status,review,proposal and review gates,closed status transition,enum,sample,exact1,proposal_only|auto_exact|gold_curated|ambiguous_blocked,ambiguity forces blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_012,ambiguity_reasons,review,all gate failures,stable reason list,string list,sample,zero or more,empty only when exact,unresolved reason blocks,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_013,human_review_decision,review,future gold package,approve_gold|revise|quarantine,enum,sample,exact1 when reviewed,gold requires completed reviewer,missing review blocks current11 gold,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
LRMSC_014,five_mask_derivation_prerequisites,mask,gold Exact3 roles and C seed,preserve Exact5 and B3,contract,sample,exact5,C seed context override only,sixth mask or missing B3 blocked,not_frozen_for_current11,designed_with_input_authority_gap,atom_indexed_pre_reaction_graph_and_approved_warhead_rules_missing,true
