card_index,pdb_id,snippet_source,target_or_label,evidence_snippet,snippet_length,evidence_snippet_truncated,evidence_snippet_audit_passed
1,1A3B,label_inventory,chain,A: 7 #Rotatable Bonds: 12 TPSA: 168.84 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 18.08 - Boronic Acid Binding Affinity - Group Pharmaceutic,208,False,True
1,1A3B,label_inventory,residue,BD: 6 HBA: 7 #Rotatable Bonds: 12 TPSA: 168.84 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 18.08 - Boronic Acid Binding Affinity - Group Pha,207,False,True
1,1A3B,label_inventory,mechanism,91.23737 logP: 0.01857 HBD: 6 HBA: 7 #Rotatable Bonds: 12 TPSA: 168.84 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 18.08 - Boronic Acid Bindin,209,False,True
1,1A3B,label_inventory,warhead,nds: 12 TPSA: 168.84 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 18.08 - Boronic Acid Binding Affinity - Group Pharmaceutical Bioinformatics,207,False,True
2,1A3E,label_inventory,chain,A: 6 #Rotatable Bonds: 14 TPSA: 136.04 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 19.59 - Boronic Acid Binding Affinity - Group Pharmaceutic,208,False,True
2,1A3E,label_inventory,residue,BD: 4 HBA: 6 #Rotatable Bonds: 14 TPSA: 136.04 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 19.59 - Boronic Acid Binding Affinity - Group Pha,207,False,True
2,1A3E,label_inventory,mechanism,: 615.0751 logP: 1.467 HBD: 4 HBA: 6 #Rotatable Bonds: 14 TPSA: 136.04 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 19.59 - Boronic Acid Bindin,209,False,True
2,1A3E,label_inventory,warhead,nds: 14 TPSA: 136.04 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Borylation SER 195 H 19.59 - Boronic Acid Binding Affinity - Group Pharmaceutical Bioinformatics,207,False,True
3,1A46,label_inventory,chain,A: 7 #Rotatable Bonds: 11 TPSA: 150.86 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 22.86 - Ketone Binding Affinity Database Name,208,False,True
3,1A46,label_inventory,residue,BD: 4 HBA: 7 #Rotatable Bonds: 11 TPSA: 150.86 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 22.86 - Ketone Binding Affinity Data,207,False,True
3,1A46,label_inventory,mechanism,t: 526.3268 logP: 0.78 HBD: 4 HBA: 7 #Rotatable Bonds: 11 TPSA: 150.86 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 22.86 - Ketone,209,False,True
3,1A46,label_inventory,warhead,nds: 11 TPSA: 150.86 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 22.86 - Ketone Binding Affinity Database Name Value PDBBind Ki,207,False,True
4,1A54,label_inventory,chain,HBA: 6 #Rotatable Bonds: 6 TPSA: 99.93 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Michael Addition CYS 197 A 18.46 17.18 Vinyl Carbonyl Binding Affinity - Group,207,False,True
4,1A54,label_inventory,residue,HBD: 1 HBA: 6 #Rotatable Bonds: 6 TPSA: 99.93 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Michael Addition CYS 197 A 18.46 17.18 Vinyl Carbonyl Binding Affinity,206,False,True
4,1A54,label_inventory,mechanism,: 381.13248 logP: 1.7652 HBD: 1 HBA: 6 #Rotatable Bonds: 6 TPSA: 99.93 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Michael Addition CYS 197 A 18.46 17.18 Vinyl Car,209,False,True
4,1A54,label_inventory,warhead,Bonds: 6 TPSA: 99.93 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Michael Addition CYS 197 A 18.46 17.18 Vinyl Carbonyl Binding Affinity - Group Pharmaceutical Bi,207,False,True
5,1A5G,label_inventory,chain,A: 7 #Rotatable Bonds: 13 TPSA: 186.74 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 21.55 - Ketone Binding Affinity Database Name,208,False,True
5,1A5G,label_inventory,residue,BD: 6 HBA: 7 #Rotatable Bonds: 13 TPSA: 186.74 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 21.55 - Ketone Binding Affinity Data,207,False,True
5,1A5G,label_inventory,mechanism,6.31726 logP: -0.17573 HBD: 6 HBA: 7 #Rotatable Bonds: 13 TPSA: 186.74 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 21.55 - Ketone,209,False,True
5,1A5G,label_inventory,warhead,nds: 13 TPSA: 186.74 Covalent Mechanism Reaction Name Residue Chain ID SASA pKa Warhead Name Warhead Structure Hemi(thio)acetalization SER 195 H 21.55 - Ketone Binding Affinity Database Name Value PDBBind Ki,207,False,True
