boundary_item,current_step_status,allowed_current_step,boundary_safety_passed,qa_comment
candidate_allowlist_qa_gate,executed_qa_gate_only,True,True,boundary_respected
candidate_allowlist_materialization,not_executed_current_step_already_completed_previous_step,False,True,boundary_respected
candidate_metadata_materialization,not_executed_current_step,False,True,boundary_respected
raw_read,not_executed_or_not_allowed,False,True,boundary_respected
raw_download,not_executed_or_not_allowed,False,True,boundary_respected
sample_index,blocked_current_step,False,True,boundary_respected
final_dataset,blocked_current_step,False,True,boundary_respected
split_assignments,blocked_current_step,False,True,boundary_respected
leakage_matrix,blocked_current_step,False,True,boundary_respected
training,blocked_current_step,False,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,False,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,False,True,boundary_respected
