audit_order,audit_item,expected_state,observed_state,safety_passed
1,production_successor_runtime_implemented,true,true,true
2,shared_exact13_identity_preserved,true,true,true
3,first_fourteen_handler_identity_preserved,true,true,true
4,admit_015_handler_implemented,true,true,true
5,successor_local_exact15_registry_changed,true,true,true
6,predecessor_files_modified,false,false,true
7,formal_exactly_once_after_routing,true,true,true
8,oracle_exactly_once_after_source,true,true,true
9,source_exact9_attested,true,true,true
10,oracle_exact9_attested,true,true,true
11,full_exact9_equivalence_required,true,true,true
12,bool_lowercase_projection,true,true,true
13,candidate_key_access_zero,true,true,true
14,adapter_stage_key_access_zero,true,true,true
15,pre_032_resolved,true,true,true
16,pre_033_resolved,true,true,true
17,mandatory_enforcement_implemented,false,false,true
18,combined_verdict_implemented,false,false,true
19,cross_rule_aggregation_implemented,false,false,true
20,provider_mapping_implemented,false,false,true
21,network_executed,false,false,true
22,download_executed,false,false,true
23,raw_accessed,false,false,true
24,dataloader_modified,false,false,true
25,model_modified,false,false,true
26,checkpoint_modified,false,false,true
27,training_executed,false,false,true
28,current_permission,false,false,true
29,authorized_execution_count_nonzero,false,false,true
30,current_main_staged,false,false,true
31,current_main_committed_or_pushed,false,false,true
32,feature_semantics_audit_completed,false,false,true
