source_order,source_relative_path,expected_sha256,base_tree_sha256,filesystem_sha256,git_tracked,regular,non_symlink,source_boundary_passed
1,src/covalent_ext/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_design_gate.py,c515afab9ac6dc4390d9ef0bf385de4261c612bb1cbe67a19b008c40c288cd7d,c515afab9ac6dc4390d9ef0bf385de4261c612bb1cbe67a19b008c40c288cd7d,c515afab9ac6dc4390d9ef0bf385de4261c612bb1cbe67a19b008c40c288cd7d,true,true,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_context_responsibility_matrix.csv,0f3772e65db51623fe7ab477e97cc7fc98166755f39d172ef017a87c7ebfba24,0f3772e65db51623fe7ab477e97cc7fc98166755f39d172ef017a87c7ebfba24,0f3772e65db51623fe7ab477e97cc7fc98166755f39d172ef017a87c7ebfba24,true,true,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_contract_source_boundary_audit.csv,e0747e6b3be3a51d1884a76a85f70b05d34d4f687b20e2604f56783db985840f,e0747e6b3be3a51d1884a76a85f70b05d34d4f687b20e2604f56783db985840f,e0747e6b3be3a51d1884a76a85f70b05d34d4f687b20e2604f56783db985840f,true,true,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_issue_readiness_inventory.csv,eb36931b833800c4a7c9dffa33a690c4197ba0bb161cfbda742b90c3b3d8d1c0,eb36931b833800c4a7c9dffa33a690c4197ba0bb161cfbda742b90c3b3d8d1c0,eb36931b833800c4a7c9dffa33a690c4197ba0bb161cfbda742b90c3b3d8d1c0,true,true,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_observed_value_coverage_matrix.csv,c55c48b58a66b44b2f6f0cc7fde27fe22fa317e3502a7eee9ee06c25006b74a2,c55c48b58a66b44b2f6f0cc7fde27fe22fa317e3502a7eee9ee06c25006b74a2,c55c48b58a66b44b2f6f0cc7fde27fe22fa317e3502a7eee9ee06c25006b74a2,true,true,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_relative_path_contract_manifest.json,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,9718090b212e3338bddef1fb7d6fb62e39d95e1911fe5bdd0ff6613b364e8bf4,true,true,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_relative_path_contract_schema_matrix.csv,dd5f853c047c7457d110739edf6f2ac3647bc3a9069b2b7a6d15b1470504f13e,dd5f853c047c7457d110739edf6f2ac3647bc3a9069b2b7a6d15b1470504f13e,dd5f853c047c7457d110739edf6f2ac3647bc3a9069b2b7a6d15b1470504f13e,true,true,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_relative_path_grammar_truth_matrix.csv,1b32c3cc658433da18b804336afec8c63a275bcf44f68556faf75804e3b386ca,1b32c3cc658433da18b804336afec8c63a275bcf44f68556faf75804e3b386ca,1b32c3cc658433da18b804336afec8c63a275bcf44f68556faf75804e3b386ca,true,true,true,true
9,src/covalent_ext/covapie_bulk_download_admission_admit_009_rule_logic_interface.py,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,3649971eec020c5981a3ba8bfddeb604797f8557fb6036efd6094a2b0d6ab4e4,true,true,true,true
10,src/covalent_ext/covapie_bulk_download_admission_admit_010_rule_logic_interface.py,05a89049fca65b6f9d9480392eb57b333a1960064fbd6c2c5061efeac3bb9a1c,05a89049fca65b6f9d9480392eb57b333a1960064fbd6c2c5061efeac3bb9a1c,05a89049fca65b6f9d9480392eb57b333a1960064fbd6c2c5061efeac3bb9a1c,true,true,true,true
11,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_010.py,b613321aa1563c7c559208fc08cf82d1e2ccee07cdc6b9c8c338d87b14c78436,b613321aa1563c7c559208fc08cf82d1e2ccee07cdc6b9c8c338d87b14c78436,b613321aa1563c7c559208fc08cf82d1e2ccee07cdc6b9c8c338d87b14c78436,true,true,true,true
