issue_inventory_index,canonical_candidate_id,issue_stage,issue_code,severity_disposition_effect,evidence_owner_or_source,review_required,fundamental_reject,resolved_or_open
1,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_ACQ_ANNOT_000003,GOLD_DUPLICATE,KNOWN_LOWER_PRIORITY_GOLD_DUPLICATE,REJECT,covapie_expansion_candidate_exclusion_audit,false,true,RESOLVED
2,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,CYS_SG_EVENT,STRUCT_CONN_LOOP_ABSENT,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
3,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
4,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000004,LIGAND_COMPONENT_IDENTITY,LIGAND_COMPONENT_MISMATCH,REJECT,covapie_expansion_candidate_source_inventory,false,true,RESOLVED
5,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
6,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,EXACT10,EXACT10_FORMULA_RH_GRAPH_INCLUSION_UNRESOLVED,HUMAN_REVIEW_REQUIRED,covpdb_source_formula_plus_exact10_policy,true,false,OPEN
7,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
8,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
9,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
10,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
11,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
12,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
13,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
14,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000015,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
15,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000016,CYS_SG_EVENT,SG_EVENT_EVIDENCE_MISSING,HUMAN_REVIEW_REQUIRED,covapie_expansion_candidate_source_inventory,true,false,OPEN
