case_id,case_group,field_name,expected_value,design_value,runtime_value,expected_design_exact_type,expected_runtime_exact_type,design_runtime_exact_type,three_way_parity_verified
TYPE_RESULT_WRONG,type,schema_version,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""",true,true,true,true
TYPE_RESULT_WRONG,type,outcome,"""invalid""","""invalid""","""invalid""",true,true,true,true
TYPE_RESULT_WRONG,type,passed,false,false,false,true,true,true,true
TYPE_RESULT_WRONG,type,blocks_transition,true,true,true,true,true,true,true
TYPE_RESULT_WRONG,type,reason,"""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""","""ACTION_PERMISSION_BRIDGE_RESULT_TYPE_INVALID""",true,true,true,true
TYPE_RESULT_WRONG,type,source_scope_id,"""""","""""","""""",true,true,true,true
TYPE_RESULT_WRONG,type,candidate_count,0,0,0,true,true,true,true
TYPE_RESULT_WRONG,type,admit_014_outcome,"""""","""""","""""",true,true,true,true
TYPE_RESULT_WRONG,type,candidate_combined_outcomes,[],[],[],true,true,true,true
TYPE_RESULT_WRONG,type,call_site_decision_outcome,"""""","""""","""""",true,true,true,true
TYPE_RESULT_WRONG,type,call_site_decision_reason,"""""","""""","""""",true,true,true,true
TYPE_RESULT_WRONG,type,invalid_candidate_indexes,[],[],[],true,true,true,true
TYPE_RESULT_WRONG,type,blocked_candidate_indexes,[],[],[],true,true,true,true
TYPE_RESULT_WRONG,type,failing_candidate_indexes,[],[],[],true,true,true,true
TYPE_RESULT_WRONG,type,source_lineage_verified,false,false,false,true,true,true,true
TYPE_RESULT_WRONG,type,transition_eligible,false,false,false,true,true,true,true
TYPE_RESULT_WRONG,type,action_permission_granted,false,false,false,true,true,true,true
TYPE_RESULT_WRONG,type,download_action_invoked,false,false,false,true,true,true,true
TYPE_RESULT_WRONG,type,bridge_io_used,false,false,false,true,true,true,true
TYPE_RESULT_SUBCLASS,type,schema_version,"""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""","""covapie_bulk_download_stage_orchestration_action_permission_bridge_decision_v1""",true,true,true,true
TYPE_RESULT_SUBCLASS,type,outcome,"""invalid""","""invalid""","""invalid""",true,true,true,true
TYPE_RESULT_SUBCLASS,type,passed,false,false,false,true,true,true,true
TYPE_RESULT_SUBCLASS,type,blocks_transition,true,true,true,true,true,true,true
