safety_area,expected,observed,evidence,verified
network,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
provider,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
download_callable,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
download_io,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
raw,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
torch,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
model,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
checkpoint,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
dataloader,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
forward,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
loss,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
backward,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
optimizer,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
scheduler,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
parameter_update,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
checkpoint_write,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
training,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
current_permission,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
action_permission,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
download_action,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
bridge_io,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
ready_for_download,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
ready_for_training,false,false,runtime AST/signature scan and 50-case full Exact19 truth,true
