source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_formal_evaluator_preconditions_manifest.json,json,ADMIT_007 implementation precondition and readiness baseline,true,true,true,true,8459b898d543c50f36e625faff2bba7ba0491bce130c488c32ae91b3c3ef0d2a,8459b898d543c50f36e625faff2bba7ba0491bce130c488c32ae91b3c3ef0d2a,8459b898d543c50f36e625faff2bba7ba0491bce130c488c32ae91b3c3ef0d2a,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_evaluator_precondition_matrix.csv,csv,Exact19 ADMIT_007 evaluator precondition semantics,true,true,true,true,a6c1b8a84e1dd112b0b26ed0a0d87e235f117df3368f14b056048358ed7fb29c,a6c1b8a84e1dd112b0b26ed0a0d87e235f117df3368f14b056048358ed7fb29c,a6c1b8a84e1dd112b0b26ed0a0d87e235f117df3368f14b056048358ed7fb29c,true
3,src/covalent_ext/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate.py,py,normative Exact3/Exact2 design definitions and predecessor-oracle identity,true,true,true,true,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,true
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_contract_manifest.json,json,"committed enum-contract counts, precedence, readiness, and output hashes",true,true,true,true,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,true
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_validation_truth_matrix.csv,csv,complete committed Exact37 semantic expectation corpus,true,true,true,true,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,true
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_admit_006_admit_007_evidence_responsibility_matrix.csv,csv,"ADMIT_007 passed/blocked members, reason, and adapter-missing boundary",true,true,true,true,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,true
7,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006.py,py,current literal Exact6 registry and absence of ADMIT_007 registration,true,true,true,true,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,fe00e617cfc99bf40eb44b13b66e4c14f08f2c764dd32820f03fd162f9049896,true
8,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006_v1/covapie_admit_001_to_006_runtime_manifest.json,json,current Exact6 runtime identity readiness and output boundary,true,true,true,true,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,359c666541602458b3ea6a023be95ea06205f8580ff71d371c25306715f558d6,true
9,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_006_v1/covapie_admit_001_to_006_runtime_issue_inventory.csv,csv,ordered Exact11 issue inventory preservation baseline,true,true,true,true,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,e63c1b83fe245031ecdefa6b3387086b2aba8d72ef50189be17b9874e8f18196,true
10,src/covalent_ext/covapie_bulk_download_admission_admit_006_rule_logic_interface.py,py,established ADMIT_006 frozen standalone-result structural precedent,true,true,true,true,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,6fd3727234b4b3f637fa5812c78421ec944238518702bc7f9d0d57a654d9a46d,true
