safety_item,expected_executed,observed_executed,safety_passed
standalone_evaluator_implementation,true,true,true
exact10_result_validation,true,true,true
scalar_validation,true,true,true
context_validation,true,true,true
exact37_synthetic_truth,true,true,true
independent_oracle_comparison,true,true,true
source_verification,true,true,true
unified_adapter,false,false,true
exact6_runtime_modification,false,false,true
admit_007_registration,false,false,true
admit_008,false,false,true
provider_mapping,false,false,true
real_candidate_evaluation,false,false,true
raw_read,false,false,true
network_download,false,false,true
checkpoint,false,false,true
torch_numpy_rdkit,false,false,true
model_forward_loss,false,false,true
training_fine_tune,false,false,true
parameter_update,false,false,true
