policy_item,policy_description,policy_contract_passed
struct_conn_parse_execution_only,This step only parses struct_conn and executes evidence cross-checks.,True
ligand_atom_name_must_come_from_raw_struct_conn,Ligand atom names must be copied from raw struct_conn records.,True
search_both_partner_orders,Both ptnr1/ptnr2 orders are searched.,True
require_cys_sg_partner_for_evidence,Evidence requires a CYS SG partner.,True
require_expected_het_partner_for_evidence,Evidence requires the expected ligand HET partner.,True
disulfide_sg_sg_not_ligand_evidence,CYS SG to CYS SG records are not ligand evidence.,True
matched_evidence_is_not_ready_candidate,Matched evidence remains pending review.,True
result_review_required_before_ready,A result review gate is required before ready status.,True
no_training_current_step,Training is not allowed in this step.,True
no_sample_or_final_dataset_current_step,Sample and final dataset artifacts are not written.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
canonical_five_masks_preserved,The canonical five mask tasks remain unchanged.,True
