field_name,field_group,schema_required_for_minimal_record,source_stage,source_column,present_in_minimal_sample_records,non_empty_for_all_records,copied_or_derived_rule,training_use_status
minimal_sample_record_id,identity_provenance,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,derived,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
confirmed_candidate_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,confirmed_candidate_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
review_row_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,review_row_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
candidate_stub_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,candidate_stub_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
sample_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,sample_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
pdb_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,pdb_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
entry_id,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,entry_id,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
structure_title,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,structure_title,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
pair_sanity_stage,identity_provenance,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
coordinate_source_stage,identity_provenance,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,altloc_aware_coordinates_source,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
schema_contract_version,identity_provenance,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,True,True,copy_or_derive_before_write_smoke,not_training_input_yet
manual_confirmed_covalent_bond,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_covalent_bond,True,True,copy_manual_review_value,not_training_input_yet
manual_confirmed_ligand_comp_id,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_ligand_comp_id,True,True,copy_manual_review_value,not_training_input_yet
manual_confirmed_residue_comp_id,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_residue_comp_id,True,True,copy_manual_review_value,not_training_input_yet
manual_confirmed_ligand_atom_id,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_ligand_atom_id,True,True,copy_manual_review_value,not_training_input_yet
manual_confirmed_residue_atom_id,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_residue_atom_id,True,True,copy_manual_review_value,not_training_input_yet
manual_confirmed_warhead_type,covalent_annotation,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_warhead_type,True,True,copy_manual_review_value,not_training_input_yet
protein_endpoint_comp_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_endpoint_comp_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
protein_endpoint_atom_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_endpoint_atom_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
protein_selected_atom_site_id,endpoint_atom_identity,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_atom_site_id,True,True,copy_altloc_aware_pair_value,not_training_input_yet
