feature_semantics_item,feature_group,current_status,risk_if_wrong,audit_required_before_training,blocking_for_design_gate,recommended_audit_step
protein_atom_feature_semantics,protein_features,design_contract_only_not_fully_audited,Wrong atom features can corrupt pocket conditioning.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
ligand_atom_feature_semantics,ligand_features,design_contract_only_not_fully_audited,Wrong atom features can corrupt generated ligand chemistry.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
residue_feature_semantics,protein_features,design_contract_only_not_fully_audited,Wrong residue features can mislabel reactive context.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
covalent_endpoint_atom_semantics,covalent_labels,design_contract_only_not_fully_audited,Wrong endpoint semantics can break covalent anchoring.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
warhead_linker_scaffold_group_semantics,group_labels,design_contract_only_not_fully_audited,Wrong group labels can invert mask supervision.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
canonical_mask_task_semantics,mask_tasks,design_contract_only_not_fully_audited,Wrong task semantics can train the wrong conditional objective.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
pre_post_covalent_geometry_semantics,geometry_labels,design_contract_only_not_fully_audited,Wrong geometry semantics can leak post-reaction state.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
warhead_type_label_semantics,auxiliary_labels,design_contract_only_not_fully_audited,Wrong warhead labels can misroute restoration assumptions.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
ligand_residue_atom_pair_label_semantics,auxiliary_labels,design_contract_only_not_fully_audited,Wrong atom-pair labels can corrupt covalent pair conditioning.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
coordinate_frame_and_units_semantics,coordinates,design_contract_only_not_fully_audited,Wrong coordinate units can destabilize equivariant inputs.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
unknown_atom_feature_policy,feature_policy,design_contract_only_not_fully_audited,Unknown atom handling can silently create invalid categories.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
checkpoint_feature_compatibility,checkpoint_compatibility,design_contract_only_not_fully_audited,Feature mismatch can make checkpoint behavior misleading.,True,False,real_covalent_confirmed_candidate_feature_semantics_audit_before_training
