next_batch_acquired_candidate_id,complex_card_url,pdb_id,ligand_identifier_if_available,suggested_ligand_comp_id,covpdb_ligand_name,covpdb_protein_name,covpdb_uniprot,covpdb_reaction_name,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,covpdb_warhead_name,covpdb_sasa,covpdb_pka,ccd_ligand_name,ccd_formula,ccd_type,duplicate_exclusion_status,annotation_acquisition_status,event_identity_status_current_step,manual_review_status,ready_candidate_current_step,ready_for_training_current_step,blocking_reasons
CYS_SG_NEXT_ACQ_ANNOT_000001,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,1A54,COVPDB1089,MDC,,,P0AG82 (PSTS_ECOLI),Michael Addition,CYS,197,A,Vinyl Carbonyl,18.46,17.18,N-[2-(1-MALEIMIDYL)ETHYL]-7-DIETHYLAMINOCOUMARIN-3-CARBOXAMIDE,C20 H21 N3 O5,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000002,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=124,2DJF,COVPDB100,1ZB,,,P53634 (CATC_HUMAN),Nucleophilic Aliphatic Subsititution,CYS,234,B,Diazomethyl Carbonyl,16.71,11.59,N-[(1S)-1-benzyl-3-diazen-1-iumylidene-2-oxopropyl]glycinamide,C12 H14 N4 O2,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000003,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1485,6BV6,COVPDB1001,JUG,,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,346,A,Vinyl Carbonyl,53.34,10.02,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000004,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1486,6BV9,COVPDB1001,JUG,,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,222,A,Vinyl Carbonyl,28.41,11.87,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000005,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1487,6BV8,COVPDB1001,JUG,,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,353,A,Vinyl Carbonyl,62.92,9.96,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000006,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1488,6BV5,COVPDB1001,JUG,,,Q66GI4 (PRRP1_ARATH),Michael Addition,CYS,353,A,Vinyl Carbonyl,64.39,10.1,"5-hydroxynaphthalene-1,4-dione",C10 H6 O3,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000007,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1493,6VWE,COVPDB1006,JY1,,,A2RI36 (A2RI36_LACLM),Michael Addition,CYS,89,A,Vinyl Carbonyl,40.13,-,"bis[diethyl(methyl)-lambda~5~-phosphanyl]{bis[{[(2-{[2-(2,5-dioxopyrrolidin-1-yl)ethyl]amino}-2-oxoethyl)amino]methyl}(diethyl)-lambda~5~-phosphanyl]}rhodium",C36 H74 N6 O6 P4 Rh,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000008,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1494,2R9F,COVPDB1007,K2Z,,,P97571 (CAN1_RAT),Hemi(thio)acetalization,CYS,115,A,Ketone,19.4,11.52,"benzyl [(1S)-1-{[(1S,2S)-1-ethyl-2-hydroxy-3-{[3-(4-methylpiperazin-1-yl)propyl]amino}-3-oxopropyl]carbamoyl}-3-methylbutyl]carbamate",C27 H45 N5 O5,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000009,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1496,4DCD,COVPDB1009,K36,,,P03300 (POLG_POL1M),Hemi(thio)acetalization,CYS,147,A,Alpha-Hydroxy Sulfonic Acid,16.81,14.66,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000010,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1498,6WTT,COVPDB1009,K36,,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,20.61,14.32,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000011,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1499,4F49,COVPDB1009,K36,,,P0C6V2 (R1A_CVPPU),Hemi(thio)acetalization,CYS,144,A,Alpha-Hydroxy Sulfonic Acid,25.26,14.5,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000012,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1500,6L70,COVPDB1009,K36,,,K4L9I6 (K4L9I6_9ALPC),Hemi(thio)acetalization,CYS,144,A,Alpha-Hydroxy Sulfonic Acid,22.73,14.41,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000013,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1501,6WTJ,COVPDB1009,K36,,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,20.32,14.47,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000014,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1502,7C8U,COVPDB1009,K36,,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,None,14.31,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000015,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1503,5WKJ,COVPDB1009,K36,,,K9N638 (R1A_MERS1),Hemi(thio)acetalization,CYS,148,A,Alpha-Hydroxy Sulfonic Acid,20.22,15.81,"(1S,2S)-2-({N-[(benzyloxy)carbonyl]-L-leucyl}amino)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",C21 H31 N3 O8 S,peptide-like,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
CYS_SG_NEXT_ACQ_ANNOT_000016,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2151,6WTK,COVPDB1009,UED,,,P0DTD1 (R1AB_SARS2),Hemi(thio)acetalization,CYS,145,A,Alpha-Hydroxy Sulfonic Acid,15.46,14.65,N~2~-[(benzyloxy)carbonyl]-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-leucinamide,C21 H31 N3 O5,non-polymer,not_duplicate_against_step14l,next_batch_event_annotation_acquired_pending_manual_review,not_event_identity_until_manual_review,pending_manual_review,False,False,
