safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used_current_step,true,True,True,
download_attempted_metadata_only,true,True,True,
no_raw_coordinate_downloaded,false,False,True,
no_raw_file_content_read_current_step,false,False,True,
no_raw_files_written_current_step,false,False,True,
no_html_files_written_current_step,false,False,True,
raw_files_untracked,false,False,True,
raw_files_unstaged,false,False,True,
metadata_csv_unchanged,true,True,True,
step14m_artifacts_unchanged,true,True,True,
step14l_artifacts_unchanged,true,True,True,
step14k_artifacts_unchanged,true,True,True,
protected_source_diff_empty,true,True,True,
original_dataloader_diff_empty,true,True,True,
no_sample_index_final_split_leakage_or_training_artifacts,true,True,True,
no_forbidden_binary_raw_or_html_suffix_artifact,true,True,True,
no_forbidden_imports_in_step14n_code,true,True,True,
urllib_allowed_current_step,true,True,True,
no_ready_candidates_created,true,True,True,
canonical_masks_preserved,true,True,True,
