execution_row_id,source_name,source_type,query_key_type,query_key_value,attempted_current_step,fetch_url_or_strategy,network_status,http_status_or_error,retry_count_used,response_text_sha256,parsed_current_step,parsed_field_count,acquisition_execution_status,execution_audit_passed,qa_comment
CYS_SG_NEXT_EXEC_000001,CovPDB,covpdb_html_listing_metadata,seed_or_listing_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/,fetched,200,,a77d3c9fe7a0db09383e81a1471c3c7b8d74f43bf5ff6eb5422772664d420a86,True,22,fetched_and_links_parsed,True,
CYS_SG_NEXT_EXEC_000002,CovPDB,covpdb_html_listing_metadata,seed_or_listing_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/help,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/help,fetched,200,,ddfab8fd9c34db737426e83ce4a56dde28f0c92ebaae890b75a5ea7e61a534ed,True,44,fetched_and_links_parsed,True,
CYS_SG_NEXT_EXEC_000003,CovPDB,covpdb_html_listing_metadata,seed_or_listing_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/residues_list/initial=Allsortedby=residue_name,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/residues_list/initial=Allsortedby=residue_name,fetched,200,,0a9545eb8a343610b1f15e0e9194b3ce936ac83aee548df35e6b2bafa5f7a120,True,92,fetched_and_links_parsed,True,
CYS_SG_NEXT_EXEC_000004,CovPDB,covpdb_html_listing_metadata,seed_or_listing_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,fetched,200,,68d32b5fa61af790b26317c5aafe971cd63ef48db84474c52dc0a04c0f79c6fc,True,84,fetched_and_links_parsed,True,
CYS_SG_NEXT_EXEC_000005,CovPDB,covpdb_html_listing_metadata,seed_or_listing_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list_by_id/search_type=by_residue_idsearch_id=3,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list_by_id/search_type=by_residue_idsearch_id=3,fetched,200,,fa45da2cc4a552cdc484d1da2794a790b3dd8fa6164972875aa7ccbda9c380d8,True,50,fetched_and_links_parsed,True,
CYS_SG_NEXT_EXEC_000006,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,fetched,,,,True,10,complex_card_parsed_metadata_only,True,not_cys_residue
CYS_SG_NEXT_EXEC_000007,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,fetched,,,,True,10,complex_card_parsed_metadata_only,True,duplicate_against_existing_9_or_current_step
CYS_SG_NEXT_EXEC_000008,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,fetched,,,,True,10,complex_card_parsed_metadata_only,True,duplicate_against_existing_9_or_current_step
CYS_SG_NEXT_EXEC_000009,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1171,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1171,fetched,,,,True,10,complex_card_parsed_metadata_only,True,not_cys_residue
CYS_SG_NEXT_EXEC_000010,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=126,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=126,fetched,,,,True,10,complex_card_parsed_metadata_only,True,not_cys_residue
CYS_SG_NEXT_EXEC_000011,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1299,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1299,fetched,,,,True,10,complex_card_parsed_metadata_only,True,not_cys_residue
CYS_SG_NEXT_EXEC_000012,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,fetched,,,,True,10,complex_card_parsed_metadata_only,True,duplicate_against_existing_9_or_current_step
CYS_SG_NEXT_EXEC_000013,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,fetched,,,,True,10,complex_card_parsed_metadata_only,True,duplicate_against_existing_9_or_current_step
CYS_SG_NEXT_EXEC_000014,CovPDB,covpdb_complex_card_metadata,complex_card_url,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,fetched,,,,True,10,complex_card_parsed_metadata_only,True,duplicate_against_existing_9_or_current_step
