complex_extraction_row_id,complex_card_url,fetch_status,covpdb_pdb_id_observed,covpdb_ligand_name_observed,covpdb_het_code_observed,covpdb_protein_name_observed,covpdb_uniprot_observed,covpdb_reaction_name_observed,covpdb_residue_name_observed,covpdb_residue_index_observed,covpdb_chain_id_observed,covpdb_sasa_observed,covpdb_pka_observed,covpdb_warhead_name_observed,duplicate_against_existing_9,excluded_reason,kept_as_next_batch_candidate,complex_extraction_passed,qa_comment
CYS_SG_NEXT_COMPLEX_000001,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,fetched,1A46,,00K,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,22.86,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000002,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,fetched,1ATK,,E64,,P43235 (CATK_HUMAN),Epoxide Opening,CYS,25,A,19.1,14.76,Epoxide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000003,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,fetched,1AEC,,E64,,P00785 (ACTN_ACTCC),Epoxide Opening,CYS,25,A,18.81,14.97,Epoxide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000004,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1171,fetched,1AXB,,FOS,,P62593 (BLAT_ECOLX),Phosphorylation,SER,70,A,10.78,-,Phosphonate,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000005,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=126,fetched,1AY6,,1ZV,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,24.49,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000006,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1299,fetched,1AWF,,GR4,,P00734 (THRB_HUMAN),Lactone Addition,SER,195,H,21.23,-,Gamma-Lactone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000007,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,fetched,1AYW,,IN3,,P43235 (CATK_HUMAN),Nucleophilic Addition to a Double Bond,CYS,25,A,15.18,12.97,Hydrazide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000008,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,fetched,1AYV,,IN6,,P43235 (CATK_HUMAN),Nucleophilic Addition to a Double Bond,CYS,25,A,17.21,12.44,Hydrazide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000009,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,fetched,1AYU,,INA,,P43235 (CATK_HUMAN),Nucleophilic Addition to a Double Bond,CYS,25,A,15.93,12.71,Hydrazide,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000010,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,fetched,1AU4,,INP,,P43235 (CATK_HUMAN),Hemi(thio)acetalization,CYS,25,A,18.63,12.68,Ketone,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000011,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,fetched,1A54,,MDC,,P0AG82 (PSTS_ECOLI),Michael Addition,CYS,197,A,18.46,17.18,Vinyl Carbonyl,False,,True,True,
CYS_SG_NEXT_COMPLEX_000012,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1615,fetched,1AD8,,MDL,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,23.26,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000013,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,fetched,1AU3,,PCM,,P43235 (CATK_HUMAN),Hemi(thio)acetalization,CYS,25,A,17.32,13.97,Ketone,True,duplicate_against_existing_9_or_current_step,False,True,
CYS_SG_NEXT_COMPLEX_000014,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1890,fetched,1AUJ,,PPB,,P00760 (TRY1_BOVIN),Borylation,SER,195,A,18.61,-,Boronic Acid,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000015,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2,fetched,1A5G,,00L,,P00734 (THRB_HUMAN),Hemi(thio)acetalization,SER,195,H,21.55,-,Ketone,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000016,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2034,fetched,1A3E,,T16,,P00734 (THRB_HUMAN),Borylation,SER,195,H,19.59,-,Boronic Acid,False,not_cys_residue,False,True,
CYS_SG_NEXT_COMPLEX_000017,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2037,fetched,1A3B,,T29,,P00734 (THRB_HUMAN),Borylation,SER,195,H,18.08,-,Boronic Acid,False,not_cys_residue,False,True,
