case_order,case_id,case_group,admission_rule_id,candidate_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,expected_outcome_or_error,observed_outcome_or_error,expected_result_json,observed_result_json,expected_call_order,observed_call_order,expected_stage_context_identity_preserved,observed_stage_context_identity_preserved,formal_call_count,oracle_call_count,candidate_key_access_count,adapter_stage_target_access_count,formal_stage_target_access_count,oracle_stage_target_access_count,stage_target_access_count,case_passed
1,batch_non_none,admit014_inherited_exact42_runtime,ADMIT_014,{},object,None,None,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
2,batch_empty_mapping,admit014_inherited_exact42_runtime,ADMIT_014,{},{},None,None,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
3,evaluation_non_none,admit014_inherited_exact42_runtime,ADMIT_014,{},None,object,None,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
4,evaluation_empty_mapping,admit014_inherited_exact42_runtime,ADMIT_014,{},None,{},None,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
5,download_non_none,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,object,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
6,download_empty_mapping,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,{},{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
7,multiple_invalid_batch_first,admit014_inherited_exact42_runtime,ADMIT_014,object,object,object,object,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_BATCH_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
8,multiple_invalid_evaluation_first,admit014_inherited_exact42_runtime,ADMIT_014,object,None,object,object,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_EVALUATION_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
9,multiple_invalid_download_first,admit014_inherited_exact42_runtime,ADMIT_014,object,None,None,object,{target:True},UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,"{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}","{""adapter_ready"":true,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""known_rule"":true,""reason"":""ADMIT_014_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",,,n/a,n/a,0,0,0,0,0,0,0,true
10,candidate_non_mapping,admit014_inherited_exact42_runtime,ADMIT_014,object,None,None,None,{},invalid,invalid,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""normalized_values"":[],""outcome"":""invalid"",""passed"":false,""reason"":""ADMIT_014_CANDIDATE_RECORD_MAPPING_INVALID"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",,,n/a,n/a,0,0,0,0,0,0,0,true
