audit_order,rule_id,expected_handler_identity,observed_handler_identity,identity_preserved,registered,callable_discovered,adapter_ready,audit_passed
1,ADMIT_001,predecessor.EVALUATOR_REGISTRY['ADMIT_001'],predecessor.EVALUATOR_REGISTRY['ADMIT_001'],true,true,true,true,true
2,ADMIT_002,predecessor.EVALUATOR_REGISTRY['ADMIT_002'],predecessor.EVALUATOR_REGISTRY['ADMIT_002'],true,true,true,true,true
3,ADMIT_003,predecessor.EVALUATOR_REGISTRY['ADMIT_003'],predecessor.EVALUATOR_REGISTRY['ADMIT_003'],true,true,true,true,true
4,ADMIT_004,predecessor.EVALUATOR_REGISTRY['ADMIT_004'],predecessor.EVALUATOR_REGISTRY['ADMIT_004'],true,true,true,true,true
5,ADMIT_005,predecessor.EVALUATOR_REGISTRY['ADMIT_005'],predecessor.EVALUATOR_REGISTRY['ADMIT_005'],true,true,true,true,true
6,ADMIT_006,predecessor.EVALUATOR_REGISTRY['ADMIT_006'],predecessor.EVALUATOR_REGISTRY['ADMIT_006'],true,true,true,true,true
7,ADMIT_007,predecessor.EVALUATOR_REGISTRY['ADMIT_007'],predecessor.EVALUATOR_REGISTRY['ADMIT_007'],true,true,true,true,true
8,ADMIT_008,predecessor.EVALUATOR_REGISTRY['ADMIT_008'],predecessor.EVALUATOR_REGISTRY['ADMIT_008'],true,true,true,true,true
9,ADMIT_009,predecessor.EVALUATOR_REGISTRY['ADMIT_009'],predecessor.EVALUATOR_REGISTRY['ADMIT_009'],true,true,true,true,true
10,ADMIT_010,predecessor.EVALUATOR_REGISTRY['ADMIT_010'],predecessor.EVALUATOR_REGISTRY['ADMIT_010'],true,true,true,true,true
11,ADMIT_011,predecessor.EVALUATOR_REGISTRY['ADMIT_011'],predecessor.EVALUATOR_REGISTRY['ADMIT_011'],true,true,true,true,true
12,ADMIT_012,predecessor.EVALUATOR_REGISTRY['ADMIT_012'],predecessor.EVALUATOR_REGISTRY['ADMIT_012'],true,true,true,true,true
13,ADMIT_013,predecessor.EVALUATOR_REGISTRY['ADMIT_013'],predecessor.EVALUATOR_REGISTRY['ADMIT_013'],true,true,true,true,true
14,ADMIT_014,_evaluate_registered_admit_014,_evaluate_registered_admit_014,true,true,true,true,true
15,ADMIT_015,not_registered,not_registered,true,false,false,false,true
16,SHARED:UnifiedAdmissionRuleEvaluation,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
17,SHARED:UnifiedAdmissionDispatchError,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
18,SHARED:RESULT_SCHEMA_VERSION,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
19,SHARED:RESULT_FIELDS,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
20,SHARED:DISPATCH_ERROR_FIELDS,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
21,SHARED:DISPATCH_ERROR_CODES,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
22,SHARED:OUTCOME_VOCABULARY,predecessor_exact_object,predecessor_exact_object,true,n/a,n/a,n/a,true
23,DISPATCHER:signature,true,true,true,n/a,n/a,n/a,true
24,DISPATCHER:local_registry,true,true,true,n/a,n/a,n/a,true
25,REGISTRY:mapping_proxy,true,true,true,n/a,n/a,n/a,true
26,RULE_NAMES:mapping_proxy,true,true,true,n/a,n/a,n/a,true
27,ADAPTER_IDS:mapping_proxy,true,true,true,n/a,n/a,n/a,true
