audit_order,audit_item,expected_state,observed_state,safety_passed
1,public_closure_pure_memory,true,true,true
2,shared_exact13_identity_preserved,true,true,true
3,first_thirteen_handler_identity_preserved,true,true,true
4,formal_exactly_once_after_routing,true,true,true
5,oracle_exactly_once_after_source,true,true,true
6,source_exact9_attested,true,true,true
7,oracle_exact9_attested,true,true,true
8,full_exact9_equivalence_required,true,true,true
9,bool_lowercase_projection,true,true,true
10,candidate_key_access_zero,true,true,true
11,adapter_stage_key_access_zero,true,true,true
12,pre_049_resolved,true,true,true
13,canonical_runtime,true,true,true
14,deterministic_materialization,true,true,true
15,adapter_design_simulator_runtime_call,false,false,true
16,admit_015_implemented,false,false,true
17,admit_015_registered,false,false,true
18,mandatory_enforcement_implemented,false,false,true
19,provider_mapping_implemented,false,false,true
20,network_executed,false,false,true
21,download_executed,false,false,true
22,raw_accessed,false,false,true
23,combined_verdict_implemented,false,false,true
24,cross_rule_aggregation_implemented,false,false,true
25,model_modified,false,false,true
26,checkpoint_modified,false,false,true
27,dataloader_modified,false,false,true
28,training_executed,false,false,true
29,current_permission,false,false,true
30,authorized_execution_count_nonzero,false,false,true
31,current_main_staged,false,false,true
32,current_main_committed_or_pushed,false,false,true
