source_order,source_relative_path,tracked_by_git,base_tree_blob,filesystem_regular,symlink,sha256_expected,sha256_observed,source_verified
1,src/covalent_ext/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate.py,true,true,true,false,75bf99f2e45bc512e4a4c5195b472d43d219800297983f3f5b56c0b73094b368,75bf99f2e45bc512e4a4c5195b472d43d219800297983f3f5b56c0b73094b368,true
2,scripts/check_covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1.py,true,true,true,false,3dae45714d3fa779fd8fa27211cd7d9029640e866c62b3e122df33ed637e92c4,3dae45714d3fa779fd8fa27211cd7d9029640e866c62b3e122df33ed637e92c4,true
3,tests/test_covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1.py,true,true,true,false,2d423d617a8cbb197877995616eb5f46efecae8fe953ea7b555fdf4507057fbe,2d423d617a8cbb197877995616eb5f46efecae8fe953ea7b555fdf4507057fbe,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,true,true,true,false,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_field_matrix.csv,true,true,true,false,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_rule_matrix.csv,true,true,true,false,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_issue_inventory.csv,true,true,true,false,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_safety_audit.csv,true,true,true,false,2019039c72e393fa625d2615c76a82ac91cac6a1f5438e395370a156df9c6cbf,2019039c72e393fa625d2615c76a82ac91cac6a1f5438e395370a156df9c6cbf,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_integration_manifest.json,true,true,true,false,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,d9bd804936c2405d6baa97bf2bd207def4d596e64ed4fd05edb341db4327bfc3,true
10,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate.py,true,true,true,false,abe6f364f0cc0297e2695f42753885e45aaf10580e4ed42deab62a39676be079,abe6f364f0cc0297e2695f42753885e45aaf10580e4ed42deab62a39676be079,true
11,scripts/check_covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1.py,true,true,true,false,e6b99242e5a93dfadb3b73917c888b2a38e27225a715054d5420a1c8b8ecb58c,e6b99242e5a93dfadb3b73917c888b2a38e27225a715054d5420a1c8b8ecb58c,true
12,tests/test_covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1.py,true,true,true,false,fa814de364acaa773286c07c7c6194ef27dedfc6d9f9586628b2bf36036759a5,fa814de364acaa773286c07c7c6194ef27dedfc6d9f9586628b2bf36036759a5,true
13,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_existing_sample_backfill_audit.csv,true,true,true,false,a52a366af0f380cccb4a4d9a7dbb692561ca04bd4a31e65f119f8c7047c11691,a52a366af0f380cccb4a4d9a7dbb692561ca04bd4a31e65f119f8c7047c11691,true
14,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_issue_inventory.csv,true,true,true,false,aa8baf1e238447ec199ffdcb0064c2718def764d16c73e7ccf82b3b124218199,aa8baf1e238447ec199ffdcb0064c2718def764d16c73e7ccf82b3b124218199,true
15,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_minimal_schema_extension_design_manifest.json,true,true,true,false,7e35e287fb629ae35b8dd83f4cb166ef95013001bbca18beae9653f6564d498b,7e35e287fb629ae35b8dd83f4cb166ef95013001bbca18beae9653f6564d498b,true
16,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_safety_audit.csv,true,true,true,false,d695c574be443fae48f824fa6b460206d230967cd0315308053c979bc44e0494,d695c574be443fae48f824fa6b460206d230967cd0315308053c979bc44e0494,true
17,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_schema_extension_contract.csv,true,true,true,false,cfe7afde4ef146ea03f6d5d85f8db0cfc0b2ce0bfc5eb94bd6f8bc305f453d89,cfe7afde4ef146ea03f6d5d85f8db0cfc0b2ce0bfc5eb94bd6f8bc305f453d89,true
18,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_design_gate_v1/covapie_covalent_residue_locator_source_boundary_audit.csv,true,true,true,false,952de935e3b873d832f774df8688fbf111994f39bdb1f0476293598e4a429659,952de935e3b873d832f774df8688fbf111994f39bdb1f0476293598e4a429659,true
19,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_rule_matrix.csv,true,true,true,false,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,c1ae6cf9c2ca5450315ff3e3ed21b0a81d8bfc08c6a07e35d3f2dca1874e0d2f,true
20,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_field_matrix.csv,true,true,true,false,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,53dccd0ff7b20465c9df13f2c9eefc254f39bcb40e30732d1cfdfa4036e888fb,true
21,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integrated_context_matrix.csv,true,true,true,false,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,8eac50078260e0567f6a99024d04ac92b512a0be10d2dcb66a4fa6dab52d1ef8,true
22,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_integration_issue_inventory.csv,true,true,true,false,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,80954e517a2425c3a5659114d08999b59aed2410be9f1af0f43eef79c22dbedd,true
23,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_minimal_schema_extension_integration_gate_v1/covapie_covalent_residue_locator_schema_extension_integration_manifest.json,true,true,true,false,676fe3c86e1304ba4971862d1e270fed40d9665e16c356d719627538aa28ee44,676fe3c86e1304ba4971862d1e270fed40d9665e16c356d719627538aa28ee44,true
24,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate.py,true,true,true,false,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,b1a874e402180a361b6940541c95710797ed10cabfdb19f7426c0b04d0532537,true
25,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_parser_provider_export_contract.csv,true,true,true,false,8893ca769577e955319ea8b9abe411149206db562193b70928d58ce4afd0ba8c,8893ca769577e955319ea8b9abe411149206db562193b70928d58ce4afd0ba8c,true
26,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_raw_token_resolution_matrix.csv,true,true,true,false,b48febdbedcb6ea6d4adc19e636b26f6774292ef3e1d405cecf7a491d7feb2fa,b48febdbedcb6ea6d4adc19e636b26f6774292ef3e1d405cecf7a491d7feb2fa,true
27,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_safety_audit.csv,true,true,true,false,e19c9dbd6480b68ff2617681a2150e1c314c5ecac9a9acdfa4bd009a515b0f0c,e19c9dbd6480b68ff2617681a2150e1c314c5ecac9a9acdfa4bd009a515b0f0c,true
28,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_parser_provider_issue_inventory.csv,true,true,true,false,fe7383541cfc06f05814afb0d3fba04716b423bc0e85b8975fb27bedad02f43e,fe7383541cfc06f05814afb0d3fba04716b423bc0e85b8975fb27bedad02f43e,true
29,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1/covapie_covalent_residue_locator_parser_provider_provenance_export_design_manifest.json,true,true,true,false,aa6435381c90416ce9ded7e50afca166f33b29b4a268b230755bba0145680876,aa6435381c90416ce9ded7e50afca166f33b29b4a268b230755bba0145680876,true
30,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,true,true,true,false,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,true
31,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,true,true,true,false,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,true
32,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_manifest.json,true,true,true,false,9061e36c333cf498dd5844407f5df11d64c3e271ae47e407938d34ac851d3aab,9061e36c333cf498dd5844407f5df11d64c3e271ae47e407938d34ac851d3aab,true
33,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_semantics_contract.csv,true,true,true,false,a783a3d474a2ed4e5ff348ec54a73510f5f6f6fb9d1edcb45dc97108e5d09eff,a783a3d474a2ed4e5ff348ec54a73510f5f6f6fb9d1edcb45dc97108e5d09eff,true
34,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_exact11_identity_atom_name_evidence_audit.csv,true,true,true,false,62f7c26b41daef96c32ca615b7d65a063810a53cef582a26cd54ed9cfb8b6e2a,62f7c26b41daef96c32ca615b7d65a063810a53cef582a26cd54ed9cfb8b6e2a,true
