manual_review_candidate_id,event_identity_tuple,pdb_id,suggested_ligand_comp_id,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,complex_card_url,duplicate_within_combined_inventory,pdb_id_alone_used_as_identity,ligand_id_alone_used_as_identity,has_cys_residue,has_warhead,has_reaction,has_chain,has_ligand_metadata,has_struct_conn_evidence,requires_future_struct_conn_crosscheck,event_identity_audit_passed,qa_comment
CYS_SG_MANUAL_REVIEW_000001,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078"", ""covalent_bond_atom_pair"": ""SG--C2"", ""ligand"": ""E64"", ""pdb_id"": ""1AEC"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AEC,E64,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000002,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301"", ""covalent_bond_atom_pair"": ""SG--CM"", ""ligand"": ""ZYA"", ""pdb_id"": ""1AIM"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AIM,ZYA,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000003,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076"", ""covalent_bond_atom_pair"": ""SG--C2"", ""ligand"": ""E64"", ""pdb_id"": ""1ATK"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1ATK,E64,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000004,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852"", ""covalent_bond_atom_pair"": ""SG--C22"", ""ligand"": ""PCM"", ""pdb_id"": ""1AU3"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AU3,PCM,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000005,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422"", ""covalent_bond_atom_pair"": ""SG--C17"", ""ligand"": ""INP"", ""pdb_id"": ""1AU4"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AU4,INP,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000006,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419"", ""covalent_bond_atom_pair"": ""SG--C21"", ""ligand"": ""INA"", ""pdb_id"": ""1AYU"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AYU,INA,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000007,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418"", ""covalent_bond_atom_pair"": ""SG--C21"", ""ligand"": ""IN6"", ""pdb_id"": ""1AYV"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AYV,IN6,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000008,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417"", ""covalent_bond_atom_pair"": ""SG--C21"", ""ligand"": ""IN3"", ""pdb_id"": ""1AYW"", ""residue_index"": ""25"", ""residue_name"": ""CYS""}",1AYW,IN3,CYS,25,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000009,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157"", ""covalent_bond_atom_pair"": ""SG--C6"", ""ligand"": ""UFP"", ""pdb_id"": ""1B02"", ""residue_index"": ""161"", ""residue_name"": ""CYS""}",1B02,UFP,CYS,161,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,False,False,False,True,True,True,True,True,True,False,True,
CYS_SG_MANUAL_REVIEW_000010,"{""chain_id"": ""A"", ""complex_card_url"": ""https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614"", ""covalent_bond_atom_pair"": """", ""ligand"": ""MDC"", ""pdb_id"": ""1A54"", ""residue_index"": ""197"", ""residue_name"": ""CYS""}",1A54,MDC,CYS,197,A,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,False,False,False,True,True,True,True,True,False,True,True,
