boundary_item,observed_current_step_status,boundary_respected,training_forbidden_respected,artifact_forbidden_respected,original_source_protection_respected,boundary_audit_passed,qa_passed,blocking_reasons
adapter_implementation,executed_external_covalent_ext_smoke_only,True,True,True,True,True,True,
adapter_instantiation,executed_external_covalent_ext_smoke_only,True,True,True,True,True,True,
torch_import,executed_for_transient_shape_smoke,True,True,True,True,True,True,
tensor_creation,executed_transient_in_memory_only,True,True,True,True,True,True,
single_sample_collate,executed_external_adapter_single_sample_only,True,True,True,True,True,True,
original_diffsbdd_source_modification,not_executed_or_not_allowed,True,True,True,True,True,True,
dataloader_modification,not_executed_or_not_allowed,True,True,True,True,True,True,
model_forward_call,not_executed_or_not_allowed,True,True,True,True,True,True,
loss_compute,not_executed_or_not_allowed,True,True,True,True,True,True,
backward_call,not_executed_or_not_allowed,True,True,True,True,True,True,
optimizer_creation,not_executed_or_not_allowed,True,True,True,True,True,True,
trainer_fit,not_executed_or_not_allowed,True,True,True,True,True,True,
checkpoint_load,not_executed_or_not_allowed,True,True,True,True,True,True,
checkpoint_save,not_executed_or_not_allowed,True,True,True,True,True,True,
pt_npz_artifact_creation,not_executed_or_not_allowed,True,True,True,True,True,True,
rdkit_or_sdf_access,not_executed_or_not_allowed,True,True,True,True,True,True,
raw_mmcif_access,not_executed_or_not_allowed,True,True,True,True,True,True,
training_claim,not_executed_or_not_allowed,True,True,True,True,True,True,
feature_semantics_audit,required_before_training_not_completed,True,True,True,True,True,True,
