adapter_design_sample_id,review_row_id,covalent_shape_item,future_adapter_field_name,observed_shape,observed_dtype_family,tensor_created_in_step13ac,tensor_persisted,field_shape_observation_passed_in_step13ac,expected_shape_validated,qa_passed,blocking_reasons
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_atom_coordinates,diffsbdd_pocket_atom_positions,"[224, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_atom_features,diffsbdd_pocket_atom_features,"[224, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,pocket_residue_features,diffsbdd_pocket_residue_features,"[224, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_atom_coordinates,diffsbdd_ligand_atom_positions,"[33, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_atom_features,diffsbdd_ligand_atom_features,"[33, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_bond_index,diffsbdd_ligand_bond_index,"[2, 35]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_bond_features,diffsbdd_ligand_bond_features,"[35, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,ligand_group_labels,diffsbdd_ligand_group_labels,[33],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,covalent_endpoint_atom_mask,diffsbdd_covalent_endpoint_atom_mask,[33],boolean,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,reactive_residue_atom_coordinates,diffsbdd_reactive_residue_atom_coordinates,[3],floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,canonical_mask_task_id_or_name,diffsbdd_canonical_mask_task,[1],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_warhead_type_label,diffsbdd_auxiliary_warhead_type_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_ligand_residue_atom_pair_label,diffsbdd_auxiliary_ligand_residue_atom_pair_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000001,HR_0002,auxiliary_pre_post_geometry_label,diffsbdd_auxiliary_pre_post_geometry_label,[],floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_atom_coordinates,diffsbdd_pocket_atom_positions,"[254, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_atom_features,diffsbdd_pocket_atom_features,"[254, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,pocket_residue_features,diffsbdd_pocket_residue_features,"[254, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_atom_coordinates,diffsbdd_ligand_atom_positions,"[30, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_atom_features,diffsbdd_ligand_atom_features,"[30, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_bond_index,diffsbdd_ligand_bond_index,"[2, 33]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_bond_features,diffsbdd_ligand_bond_features,"[33, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,ligand_group_labels,diffsbdd_ligand_group_labels,[30],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,covalent_endpoint_atom_mask,diffsbdd_covalent_endpoint_atom_mask,[30],boolean,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,reactive_residue_atom_coordinates,diffsbdd_reactive_residue_atom_coordinates,[3],floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,canonical_mask_task_id_or_name,diffsbdd_canonical_mask_task,[1],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,auxiliary_warhead_type_label,diffsbdd_auxiliary_warhead_type_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,auxiliary_ligand_residue_atom_pair_label,diffsbdd_auxiliary_ligand_residue_atom_pair_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000002,HR_0003,auxiliary_pre_post_geometry_label,diffsbdd_auxiliary_pre_post_geometry_label,[],floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,pocket_atom_coordinates,diffsbdd_pocket_atom_positions,"[263, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,pocket_atom_features,diffsbdd_pocket_atom_features,"[263, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,pocket_residue_features,diffsbdd_pocket_residue_features,"[263, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,ligand_atom_coordinates,diffsbdd_ligand_atom_positions,"[41, 3]",floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,ligand_atom_features,diffsbdd_ligand_atom_features,"[41, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,ligand_bond_index,diffsbdd_ligand_bond_index,"[2, 45]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,ligand_bond_features,diffsbdd_ligand_bond_features,"[45, 1]",integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,ligand_group_labels,diffsbdd_ligand_group_labels,[41],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,covalent_endpoint_atom_mask,diffsbdd_covalent_endpoint_atom_mask,[41],boolean,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,reactive_residue_atom_coordinates,diffsbdd_reactive_residue_atom_coordinates,[3],floating,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,canonical_mask_task_id_or_name,diffsbdd_canonical_mask_task,[1],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,auxiliary_warhead_type_label,diffsbdd_auxiliary_warhead_type_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,auxiliary_ligand_residue_atom_pair_label,diffsbdd_auxiliary_ligand_residue_atom_pair_label,[],integer,True,False,True,True,True,
DSBDD_ADAPTER_DESIGN_000003,HR_0004,auxiliary_pre_post_geometry_label,diffsbdd_auxiliary_pre_post_geometry_label,[],floating,True,False,True,True,True,
