stage,previous_stage,section,status,evidence,decision,blocking_reasons,recommended_next_step
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,step13ac_precondition,passed,"{""historical_previous_stage"": ""real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0"", ""validated"": true}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,naming_convention,passed,"{""naming_convention_validated"": true, ""project_name"": ""CovaPIE""}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,input_qa,passed,"{""all_input_qa_passed"": true, ""row_count"": 3}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,sample_dict_qa,passed,"{""all_sample_dict_qa_passed"": true, ""row_count"": 3}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,field_shape_qa,passed,"{""all_field_shape_qa_passed"": true, ""row_count"": 42}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,single_sample_batch_qa,passed,"{""all_single_sample_batch_qa_passed"": true, ""row_count"": 3}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,mask_mapping_qa,passed,"{""all_mask_mapping_qa_passed"": true, ""row_count"": 5}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,auxiliary_label_qa,passed,"{""all_auxiliary_label_qa_passed"": true, ""row_count"": 3}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,execution_boundary_qa,passed,"{""all_execution_boundary_qa_passed"": true, ""row_count"": 19}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,feature_semantics_qa,passed,"{""all_feature_semantics_qa_passed"": true, ""row_count"": 12}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,dependency_qa,passed,"{""all_dependency_qa_passed"": true, ""row_count"": 12}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,source_ast_safety_qa,passed,"{""all_source_ast_safety_qa_passed"": true, ""row_count"": 17}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0,real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0,readiness_boundary,passed,"{""feature_semantics_audit_required_before_training"": true, ""ready_for_covapie_batch_scale_data_preparation_design_gate"": true, ""ready_for_training"": false, ""ready_to_train_now"": false, ""recommended_next_step"": ""covapie_batch_scale_data_preparation_design_gate""}",CovaPIE DiffSBDD loader adapter implementation QA gate passed,,covapie_batch_scale_data_preparation_design_gate
