safety_item,source_path,check_method,expected_status,observed_status,qa_passed,blocking_reasons
step13ac_module_text_exists,src/covalent_ext/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke.py,path_exists,exists,exists,True,
step13ac_module_defines_adapter_class,src/covalent_ext/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke.py,ast_class_scan,RealCovalentDiffSBDDLoaderAdapter,found,True,
step13ac_module_defines_collate_single_sample,src/covalent_ext/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke.py,ast_function_scan,collate_single_sample,found,True,
step13ac_module_imports_torch_allowed_in_step13ac,src/covalent_ext/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke.py,ast_import_scan,torch_import_allowed_only_in_step13ac,imports_torch,True,
step13ad_module_does_not_import_torch,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_import_scan,no_torch_import,no_torch_import,True,
step13ad_check_script_does_not_import_torch,scripts/check_covapie_diffsbdd_loader_adapter_implementation_qa_gate_v0.py,ast_import_scan,no_torch_import,no_torch_import,True,
step13ad_module_does_not_import_step13ac_module,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_import_scan,no_step13ac_module_import,no_step13ac_module_import,True,
no_checkpoint_api_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_model_forward_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_loss_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_backward_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_optimizer_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_trainer_fit_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_torch_save_or_numpy_save,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_rdkit_import_or_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
no_gzip_gemmi_biopdb_import,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_import_scan,not_present,not_present,True,
no_url_or_network_call,src/covalent_ext/covapie_diffsbdd_loader_adapter_implementation_qa_gate.py,ast_call_scan,not_called,not_called,True,
