dependency_name,dependency_artifact_path,dependency_exists,dependency_row_count,dependency_expected_row_count,dependency_count_validated,dependency_qa_passed,blocking_reasons
step13ac_manifest,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_implementation_smoke_manifest.json,True,1,1,True,True,
step13ac_input_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_input_audit.csv,True,3,3,True,True,
step13ac_sample_dict_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_sample_dict_audit.csv,True,3,3,True,True,
step13ac_field_shape_observation,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_field_shape_observation.csv,True,42,42,True,True,
step13ac_single_sample_batch_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_single_sample_batch_audit.csv,True,3,3,True,True,
step13ac_mask_mapping_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_mask_mapping_audit.csv,True,5,5,True,True,
step13ac_auxiliary_label_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_auxiliary_label_audit.csv,True,3,3,True,True,
step13ac_execution_boundary_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_execution_boundary_audit.csv,True,19,19,True,True,
step13ac_feature_semantics_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_feature_semantics_audit.csv,True,12,12,True,True,
step13ac_dependency_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_dependency_audit.csv,True,8,8,True,True,
step13ac_report,data/derived/covalent_small/real_covalent_confirmed_candidate_diffsbdd_loader_adapter_implementation_smoke_v0/diffsbdd_loader_adapter_implementation_smoke_report.csv,True,11,11,True,True,
covapie_naming_convention_doc,docs/covapie_project_naming_convention.md,True,1,1,True,True,
