case_group,case_id,decision_field,expected_value,design_value,runtime_value,expected_exact_type,design_exact_type,runtime_exact_type,design_parity_verified,runtime_parity_verified,three_way_parity_verified
input_cardinality,both_missing,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
input_cardinality,both_missing,outcome,invalid,invalid,invalid,str,str,str,true,true,true
input_cardinality,both_missing,passed,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_missing,blocks_download,true,true,true,bool,bool,bool,true,true,true
input_cardinality,both_missing,reason,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,str,str,str,true,true,true
input_cardinality,both_missing,source_kind,invalid_input,invalid_input,invalid_input,str,str,str,true,true,true
input_cardinality,both_missing,source_scope_id,,,,str,str,str,true,true,true
input_cardinality,both_missing,source_error_code,,,,str,str,str,true,true,true
input_cardinality,both_missing,candidate_count,0,0,0,int,int,int,true,true,true
input_cardinality,both_missing,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_missing,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_missing,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_missing,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_missing,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_missing,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_present,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
input_cardinality,both_present,outcome,invalid,invalid,invalid,str,str,str,true,true,true
input_cardinality,both_present,passed,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_present,blocks_download,true,true,true,bool,bool,bool,true,true,true
input_cardinality,both_present,reason,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,str,str,str,true,true,true
input_cardinality,both_present,source_kind,invalid_input,invalid_input,invalid_input,str,str,str,true,true,true
input_cardinality,both_present,source_scope_id,,,,str,str,str,true,true,true
input_cardinality,both_present,source_error_code,,,,str,str,str,true,true,true
input_cardinality,both_present,candidate_count,0,0,0,int,int,int,true,true,true
input_cardinality,both_present,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_present,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_present,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,both_present,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_present,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
input_cardinality,both_present,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
input_cardinality,result_only,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
input_cardinality,result_only,outcome,blocked,blocked,blocked,str,str,str,true,true,true
input_cardinality,result_only,passed,false,false,false,bool,bool,bool,true,true,true
input_cardinality,result_only,blocks_download,true,true,true,bool,bool,bool,true,true,true
input_cardinality,result_only,reason,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,str,str,str,true,true,true
input_cardinality,result_only,source_kind,orchestration_result,orchestration_result,orchestration_result,str,str,str,true,true,true
input_cardinality,result_only,source_scope_id,download_execution_permission,download_execution_permission,download_execution_permission,str,str,str,true,true,true
input_cardinality,result_only,source_error_code,,,,str,str,str,true,true,true
input_cardinality,result_only,candidate_count,1,1,1,int,int,int,true,true,true
input_cardinality,result_only,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,result_only,blocked_candidate_indexes,[0],[0],[0],tuple,tuple,tuple,true,true,true
input_cardinality,result_only,failing_candidate_indexes,[0],[0],[0],tuple,tuple,tuple,true,true,true
input_cardinality,result_only,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
input_cardinality,result_only,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
input_cardinality,result_only,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
input_cardinality,error_only,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
input_cardinality,error_only,outcome,invalid,invalid,invalid,str,str,str,true,true,true
input_cardinality,error_only,passed,false,false,false,bool,bool,bool,true,true,true
input_cardinality,error_only,blocks_download,true,true,true,bool,bool,bool,true,true,true
input_cardinality,error_only,reason,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,str,str,str,true,true,true
input_cardinality,error_only,source_kind,orchestration_error,orchestration_error,orchestration_error,str,str,str,true,true,true
input_cardinality,error_only,source_scope_id,download_execution_permission,download_execution_permission,download_execution_permission,str,str,str,true,true,true
input_cardinality,error_only,source_error_code,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,STAGE_ORCHESTRATION_SCOPE_ID_INVALID,str,str,str,true,true,true
input_cardinality,error_only,candidate_count,0,0,0,int,int,int,true,true,true
input_cardinality,error_only,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,error_only,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,error_only,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
input_cardinality,error_only,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
input_cardinality,error_only,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
input_cardinality,error_only,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
type,result_wrong_type,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
type,result_wrong_type,outcome,invalid,invalid,invalid,str,str,str,true,true,true
type,result_wrong_type,passed,false,false,false,bool,bool,bool,true,true,true
type,result_wrong_type,blocks_download,true,true,true,bool,bool,bool,true,true,true
type,result_wrong_type,reason,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,BULK_DOWNLOAD_CALL_SITE_RESULT_TYPE_INVALID,str,str,str,true,true,true
type,result_wrong_type,source_kind,orchestration_result,orchestration_result,orchestration_result,str,str,str,true,true,true
type,result_wrong_type,source_scope_id,,,,str,str,str,true,true,true
type,result_wrong_type,source_error_code,,,,str,str,str,true,true,true
type,result_wrong_type,candidate_count,0,0,0,int,int,int,true,true,true
type,result_wrong_type,invalid_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_wrong_type,blocked_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_wrong_type,failing_candidate_indexes,[],[],[],tuple,tuple,tuple,true,true,true
type,result_wrong_type,action_permission_granted,false,false,false,bool,bool,bool,true,true,true
type,result_wrong_type,download_action_invoked,false,false,false,bool,bool,bool,true,true,true
type,result_wrong_type,call_site_io_used,false,false,false,bool,bool,bool,true,true,true
type,result_subclass,schema_version,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,str,str,str,true,true,true
