source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_design_gate.py,source_code,canonical_field_and_rule_contract,true,true,true,true,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,79ecb3fb1084ddc161d1bec1a7db664ffbeda71952e31e4233317ecd487905d6,true
2,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_schema_contract.csv,contract,canonical_field_and_rule_contract,true,true,true,true,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,44ca53db60e210ffe1200d32f449c1fd94107f2775ed19b9c14f3a1e982e9710,true
3,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,contract,canonical_field_and_rule_contract,true,true,true,true,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,true
4,src/covalent_ext/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate.py,source_code,implementation_precondition_and_rule_semantics,true,true,true,true,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,5fcc47a764a8a87e110350359e7c17056773c7ffd659b9094b6433beded2a9f8,true
5,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_evaluation_context_contract.csv,contract,implementation_precondition_and_rule_semantics,true,true,true,true,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,1146ba9f7dce648726b54401ece8e7f5e94e9feea8057ab29d4fea8a8bf6f8b0,true
6,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_field_semantics_matrix.csv,truth,implementation_precondition_and_rule_semantics,true,true,true,true,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,a64a746cd13eb8f8421fcab1298f5657147e7882b8c786cf956f8096187966a1,true
7,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_rule_executability_matrix.csv,truth,implementation_precondition_and_rule_semantics,true,true,true,true,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,a7782e48cac282b047a392ee20b5b26a72fa1b2208a3889edf8b1c8af923921b,true
8,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_issue_inventory.csv,issue,implementation_precondition_and_rule_semantics,true,true,true,true,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,7c7707f5261461083bda7ab2177a423b608c725c070dafaff558bdf39256211e,true
9,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1/covapie_bulk_download_admission_implementation_precondition_manifest.json,manifest,implementation_precondition_and_rule_semantics,true,true,true,true,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,2304b5754d8052b4b186981a98c12f259608a3492947e069c2afab84084a0d52,true
10,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005.py,source_code,current_exact5_runtime_registry_issue_and_readiness,true,true,true,true,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,true
11,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_issue_inventory.csv,issue,current_exact5_runtime_registry_issue_and_readiness,true,true,true,true,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,7f815f3358ae3e53d296bc3ec0a129cd459184a76aa5169649b73fb1440e28bc,true
12,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005_v1/covapie_admit_001_to_005_runtime_manifest.json,manifest,current_exact5_runtime_registry_issue_and_readiness,true,true,true,true,699143ca47d8ff51dbf9779fce2a95ef537d1d6053d93a73f941725d6219256e,699143ca47d8ff51dbf9779fce2a95ef537d1d6053d93a73f941725d6219256e,699143ca47d8ff51dbf9779fce2a95ef537d1d6053d93a73f941725d6219256e,true
