precondition_id,semantic_area,required_contract,observed_contract,source_evidence,semantics_complete,blocker_id,implementation_disposition,precondition_passed
PRE_001,candidate_field_name,one exact candidate field,covalent_event_evidence_source is the sole named field,schema_contract:covalent_event_evidence_source,true,,frozen,true
PRE_002,candidate_projection,exact standalone candidate projection,candidate_record_field=true but no evaluator projection,field_semantics:covalent_event_evidence_source,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_and_interface_contract,true
PRE_003,scalar_exact_type,exact scalar type,no exact type contract,field_semantics:exact_validation_defined=false,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_004,empty_handling,missing/null/empty semantics,only missing blocking-reason name; no null or empty mapping,rule_registry:ADMIT_006,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_005,canonicalization,ASCII whitespace and case rules,normalization_defined=false,field_semantics:covalent_event_evidence_source,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_006,allowed_enum,finite canonical evidence enum,allowed_values_defined=false,field_semantics:covalent_event_evidence_source,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_007,unknown_enum_handling,fail-closed unknown-value disposition,no unknown value semantics,context_contract:allowed_covalent_evidence_classes,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_008,explicit_vs_distance_only,value-level classification boundary,prose forbids distance-only but provides no member mapping,schema_contract plus rules ADMIT_006/ADMIT_007,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_009,admit006_admit007_boundary,non-overlapping evaluator responsibilities,both depend on same unresolved enum/context; value-to-rule ownership absent,rule_executability:ADMIT_006|ADMIT_007,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_010,outcome_vocabulary,exact evaluator outcome mapping,required-status labels exist; enum-to-outcome mapping absent,rule_registry:ADMIT_006|ADMIT_007,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_011,reason_vocabulary,exact reason mapping for every input class,two blocking reason names exist; input-class mapping absent,rule_registry:ADMIT_006|ADMIT_007,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_012,validated_normalized_mapping,validated and normalized result fields,no validation or normalization contract,field_semantics:covalent_event_evidence_source,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_013,runtime_context_dependency,exact context type and values,dependency name frozen; exact_contract_defined=false,context_contract:allowed_covalent_evidence_classes,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_014,independent_semantic_oracle,independent value oracle,no oracle exists,runtime registry and frozen sources,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,design_enum_contract,true
PRE_015,standalone_evaluator_safety,implementable without semantic guessing,presence-only would accept arbitrary nonempty strings,PRE_003 through PRE_014,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,blocked,true
PRE_016,real_provider_values,committed real values sufficient to validate enum,zero observed values,observed_evidence_value_inventory,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,future_provider_validation_after_contract,true
PRE_017,candidate_records,authorized real candidate records,no candidate materialization or evaluation authorized,safety boundary,false,COVALENT_EVIDENCE_ENUM_UNRESOLVED,blocked,true
PRE_018,bulk_download_readiness,all rules and combined verdict ready,ADMIT_006-015 unregistered and aggregation unresolved,runtime issue inventory,false,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,blocked,true
PRE_019,training_readiness,feature-semantics audit and training authorization,feature-semantics audit remains mandatory; training forbidden,repository training prerequisite,false,FEATURE_SEMANTICS_AUDIT_REQUIRED,blocked,true
