contract_order,contract_group,contract_item,frozen_value,implementation_status,contract_passed
1,identity,future_public_function_name,require_admit_015_training_authorization,future_contract_only,true
2,identity,future_public_signature,"require_admit_015_training_authorization(candidate_record: Mapping[str, object], *, stage_authorization_context: Mapping[str, object] | None) -> UnifiedAdmissionRuleEvaluation",future_contract_only,true
3,identity,future_return_type,UnifiedAdmissionRuleEvaluation,future_contract_only,true
4,identity,future_error_type,Admit015TrainingAuthorizationEnforcementError,future_contract_only,true
5,identity,future_error_schema,covapie_admit_015_training_authorization_enforcement_error_v1,future_contract_only,true
6,identity,future_error_fields,schema_version|error_code|admission_rule_id|reason,future_contract_only,true
7,identity,future_error_field_types,str|str|str|str,future_contract_only,true
8,identity,future_error_signature,"Admit015TrainingAuthorizationEnforcementError(schema_version: str, error_code: str, admission_rule_id: str, reason: str)",future_contract_only,true
9,input,candidate_record_owner,future_training_orchestrator,future_contract_only,true
10,input,stage_context_owner,trusted_future_stage_orchestrator,future_contract_only,true
11,runtime,runtime_dependency,current_exact15_runtime,future_contract_only,true
12,runtime,selected_rule_id,ADMIT_015,future_contract_only,true
13,runtime,runtime_call_count_per_invocation,exactly_one,future_contract_only,true
14,routing,batch_context,None,future_contract_only,true
15,routing,evaluation_context,None,future_contract_only,true
16,routing,download_result_context,None,future_contract_only,true
17,routing,stage_context_object,same_identity,future_contract_only,true
18,validation,result_exact_type,required_no_subclass,future_contract_only,true
19,validation,result_field_order,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,future_contract_only,true
20,validation,result_schema_version,covapie_unified_admission_rule_evaluation_v1,future_contract_only,true
21,validation,result_rule_id,ADMIT_015,future_contract_only,true
22,validation,result_outcome,passed,future_contract_only,true
23,validation,result_passed,true,future_contract_only,true
24,validation,result_blocks_candidate,false,future_contract_only,true
25,validation,result_reason,empty,future_contract_only,true
26,validation,result_evaluator_io_used,false,future_contract_only,true
27,validation,result_adapter_id,covapie_admit_015_unified_adapter_v1,future_contract_only,true
28,validation,result_normalized_values,current_stage_training_authorized=true,future_contract_only,true
29,validation,validated_candidate_fields,empty_tuple,future_contract_only,true
30,validation,consumed_candidate_fields,empty_tuple,future_contract_only,true
31,validation,consumed_context_items,current_stage_training_authorized,future_contract_only,true
32,behavior,only_pass_may_continue,true,future_contract_only,true
33,behavior,return_on_pass,exact_validated_result,future_contract_only,true
34,behavior,raise_on_denial_or_drift,Admit015TrainingAuthorizationEnforcementError,future_contract_only,true
35,behavior,candidate_fields_are_authority,false,future_contract_only,true
36,forbidden,precomputed_bool_input,forbidden,future_contract_only,true
37,forbidden,precomputed_result_input,forbidden,future_contract_only,true
38,forbidden,combined_verdict_input,forbidden,future_contract_only,true
39,forbidden,admit_014_permission_substitution,forbidden,future_contract_only,true
40,forbidden,manifest_config_cli_environment_authority,forbidden,future_contract_only,true
41,boundary,protected_action_count,11,future_contract_only,true
42,boundary,training_io_in_design,false,future_contract_only,true
43,status,future_api_frozen,true,frozen,true
44,status,future_api_implemented,false,not_implemented,true
