case_order,case_id,case_group,expected_decision,observed_decision,expected_error_code,observed_error_code,runtime_call_count,selected_rule_id,batch_context_is_none,evaluation_context_is_none,download_result_context_is_none,stage_context_identity_preserved,protected_action_counts_json,current_permission,authorized_execution_count,real_training_executed,case_passed
1,canonical_admit_015_pass,canonical_pass,future_in_memory_continuation,future_in_memory_continuation,,,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
2,canonical_admit_015_blocked,canonical_blocked,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
3,invalid_candidate,invalid_candidate,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
4,missing_stage_context,missing_stage_context,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
5,false_authorization,false_authorization,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
6,dispatcher_failure,dispatcher_failure,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DISPATCH_FAILED,ADMIT_015_TRAINING_AUTHORIZATION_DISPATCH_FAILED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
7,result_wrong_type,result_type_validation,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
8,result_subclass,result_type_validation,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,ADMIT_015_TRAINING_AUTHORIZATION_RESULT_INVALID,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
9,result_field_order_drift,result_field_order_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
10,result_field_type_drift,result_field_type_drift,raise_fail_closed,raise_fail_closed,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,ADMIT_015_TRAINING_AUTHORIZATION_DENIED,1,ADMIT_015,true,true,true,true,"{""TRAIN_ACTION_001"":0,""TRAIN_ACTION_002"":0,""TRAIN_ACTION_003"":0,""TRAIN_ACTION_004"":0,""TRAIN_ACTION_005"":0,""TRAIN_ACTION_006"":0,""TRAIN_ACTION_007"":0,""TRAIN_ACTION_008"":0,""TRAIN_ACTION_009"":0,""TRAIN_ACTION_010"":0,""TRAIN_ACTION_011"":0}",false,0,false,true
