audit_order,audit_item,expected_state,observed_state,safety_passed
1,network_executed,false,false,true
2,provider_executed,false,false,true
3,download_executed,false,false,true
4,raw_accessed,false,false,true
5,torch_imported,false,false,true
6,dataloader_instantiated,false,false,true
7,checkpoint_loaded,false,false,true
8,model_initialized,false,false,true
9,model_forward_executed,false,false,true
10,loss_computed,false,false,true
11,backward_executed,false,false,true
12,optimizer_created,false,false,true
13,scheduler_created,false,false,true
14,parameter_updated,false,false,true
15,checkpoint_written,false,false,true
16,training_result_materialized,false,false,true
17,current_permission,false,false,true
18,authorized_execution_count_nonzero,false,false,true
19,mandatory_enforcement_implemented,false,false,true
20,combined_candidate_verdict_implemented,false,false,true
21,cross_rule_aggregation_implemented,false,false,true
22,feature_semantics_audit_completed,false,false,true
23,historical_unknown_atom_feature_policy_resolved,false,false,true
24,historical_feature_semantics_known,false,false,true
25,real_training_ready,false,false,true
26,ready_for_training,false,false,true
27,design_contract_only,true,true,true
28,exact11_protected_actions_frozen,true,true,true
