boundary_item,current_step_status,allowed_current_step,future_condition,boundary_safety_passed,qa_comment
candidate_allowlist_materialization_design_gate,executed_design_gate_only,True,current_step_complete,True,boundary_respected
candidate_allowlist_materialization,blocked_current_design_gate,False,candidate_allowlist_materialization_smoke,True,boundary_respected
candidate_metadata_materialization,not_executed_current_step,False,already_completed_previous_smoke,True,boundary_respected
sample_index,blocked_current_design_gate,False,future_gate_required,True,boundary_respected
final_dataset,blocked_current_design_gate,False,future_gate_required,True,boundary_respected
split_assignments,blocked_current_design_gate,False,future_leakage_split_gate_required,True,boundary_respected
leakage_matrix,blocked_current_design_gate,False,future_leakage_split_gate_required,True,boundary_respected
training,blocked_current_design_gate,False,future_training_gate_required,True,boundary_respected
network_access,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
raw_download,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
raw_text_read,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,False,not_applicable,True,boundary_respected
