training_blocker_item,current_step_status,training_blocker_passed,qa_comment
mask_warhead_only_A,warhead_only/A_preserved,True,canonical_mask_preserved
mask_linker_plus_warhead_B,linker_plus_warhead/B_preserved,True,canonical_mask_preserved
mask_scaffold_plus_warhead_B2,scaffold_plus_warhead/B2_preserved,True,canonical_mask_preserved
mask_scaffold_only_B3,scaffold_only/B3_preserved,True,canonical_mask_preserved
mask_scaffold_plus_linker_plus_warhead_C,scaffold_plus_linker_plus_warhead/C_preserved,True,canonical_mask_preserved
feature_semantics_audit_required,required_before_training,True,training_blocker_preserved
feature_semantics_fully_audited_claimed_false,fully_audited_claimed_false,True,training_blocker_preserved
leakage_split_design_required,required_before_training,True,training_blocker_preserved
split_written_current_step_false,false,True,training_blocker_preserved
leakage_matrix_written_current_step_false,false,True,training_blocker_preserved
ready_for_training_false,false,True,training_blocker_preserved
