occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,authoritative_for_admit008_formal_semantics,occurrence_passed
1,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007.py,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,production_source,line_1102,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
2,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007.py,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,production_source,line_1104,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
3,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007.py,d9fb64a473de1c456115c871a10b06d16f80dac9dc04f87302e43cc01a40a0cd,production_source,line_1943,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
4,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_manifest.json,0a4cb44812ff5398ffba9a077f1217db3da3624d870922eec87848b60091c96e,committed_manifest,line_99,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
5,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_contract_csv,line_9,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
6,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_contract_csv,line_9,topology_restoration_disposition,candidate field reference,ADMIT_008,field name is frozen; scalar semantics are not,false,true
7,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_contract_csv,line_9,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,open semantics blocker,ADMIT_008,canonical disposition enum remains unresolved,false,true
8,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_contract_csv,line_11,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
9,data/derived/covalent_small/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_007_v1/covapie_admit_001_to_007_runtime_issue_inventory.csv,47de07417697808b044d30260f153ec7e5d46fb7c5b0e2c1f41187bcb09b89a0,committed_contract_csv,line_12,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,false,true
10,data/derived/covalent_small/covapie_canonical_final_dataset_bulk_download_admission_design_gate_v1/covapie_bulk_download_admission_rule_registry.csv,9b16919a08d166a8daf223c7b6a04078ae10aa00206daefc18f2c5a5060783fc,committed_contract_csv,line_9,ADMIT_008,admission rule identity or coverage reference,ADMIT_008,identity authoritative only where declared; not enum semantics,true,true
